,text
840," Tell me again how Citizen Kane is the best movie of all time, then go watch Caddyshack. you pretentious film school cunt."
3451, Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the strip club throwing ones at the big booty hoe&# ;
3253, ironic that he's a trashcan because he holds trash everytime you two cuddle! Burn.
4935, When your at the pharmacist and they tell you your medicine will be ready in mins.... Wtf bitch it's been ... #stillwai&# ;
14439, #MyGoalFor UnHoe these bitches
3432,You're a stupid hoe
455,Tommy trash
10062,What's that makeup called on your cheeks? I call it bitch spots lmao
15429,&# ; Islamic State suspects in Indonesia are Chinese Uighurs Uighur Jihadis: they're not just a PRC tool.
3100, She colored not Lebanese
1853,I swear this hoe been following me ever since I went on break
2589, bro u trash at that zombies
809, These hoes ain't got nothin' on ya &# ;
155,When was a hoe ever supposed to be loyal. I mean it wouldnt make em a hoe they'd be another housewife
12800,"It's funny how females don't want to be called a ""bitch"" but if you put the word bad in front of it then they're happy af"
1309,the bae gettin her nips pierced &# ;&# ;
468,"Charlie Crist Losing , Florida Jobs To Raise Minimum Wage Is &# ;Worth It&# ; - Conservative Byte via "
257, slap a taco in thT hoe face &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;
3511,"This bitch wanna smoke all of my weed,"
4134, its the start of another yellow jacket season tonight!!! How about a RT for ALL the Jacket Fans!!! #GTVT ...
443, I just fucked yo bitch bruh.. I tried not to tho
12466,Pretty ass niggah. 
16261, More queer lady Templars. That's my point.
14797,lrt turnup lil bitch
10892,"' Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?"
3251, happy th birthday to my main hoe and partner in crime #bountyhunters lyfe &# ;&# ; 
2604,&# ; lol haha&# ; hahahahahahahahahaahah deez nuts bitch
11697, hoes quick to say they can fuck somebody else bf but what does that do for you but make you look bad? &# ;&# ;&# ; want a cookie?
2533,. Try visiting at night for a real spook!
2361, Who gave this bitch THAT much confidence? &# ; 
748, because you're a weak bitch. Listen to Cruel Hand because the singer fell on face last night.
13964,Bumpin that nigga nigga Rick Ross B.M.F this hoe going harrrrd highh outside enjoying this weather
2930,We trash
4246, dat was befo da fact hoe shut yo ass up &# ;
1585, The crows warned you to stay away from the island. Will you? THE SOUL COLLECTOR #IAN 
