,class
840,1
3451,1
3253,2
4935,1
14439,1
3432,1
455,2
10062,1
15429,2
3100,2
1853,1
2589,2
809,1
155,1
12800,1
1309,1
468,2
257,1
3511,1
4134,2
443,1
12466,1
16261,0
14797,1
10892,1
3251,1
2604,1
11697,1
2533,2
2361,1
748,1
13964,1
2930,1
4246,1
1585,2
13675,0
10960,1
11011,1
2032,2
13186,1
12958,1
3119,1
3229,1
4709,1
2191,1
3514,2
15788,1
29,1
3496,0
2870,1
11992,1
2945,1
2005,1
2096,1
1236,2
9985,1
12791,1
12959,1
4276,1
1678,2
3485,1
3257,1
1017,1
81,1
2487,1
10436,1
15498,1
1085,2
3425,1
4705,1
348,1
12441,1
4241,1
1241,2
10773,1
2339,1
14106,1
11751,1
3781,1
1856,1
1823,1
2093,1
3589,1
14045,2
15110,2
3138,1
713,1
14997,1
1137,2
146,1
3544,0
12270,1
3622,1
10557,1
3264,2
15404,1
11054,1
1928,2
332,1
2891,2
12692,1
178,1
3437,2
1818,1
3068,1
1487,1
2079,1
12062,1
3999,1
11137,1
1602,1
1409,2
825,1
1425,1
2942,1
1645,0
10559,1
4326,1
3972,1
11339,1
1100,1
4637,1
2675,1
923,0
11351,1
16461,1
5060,0
15956,1
14779,1
15941,1
770,1
4053,1
15981,1
13779,1
2318,1
2806,1
16436,1
10089,1
1906,1
1631,2
2373,1
86,1
14977,1
14964,1
16051,1
1083,2
11754,1
3722,1
2860,2
3763,1
15857,1
788,1
1148,1
236,1
3417,1
10593,1
1960,1
3263,1
251,1
14277,1
965,1
885,1
10977,1
2893,1
11357,1
3875,2
12219,0
2057,1
2786,1
2742,1
10,1
1847,1
13085,1
15738,1
10871,1
12474,2
4459,1
1511,1
2172,1
12315,1
3937,0
3178,1
2542,1
377,2
12995,2
3281,1
14027,1
1862,1
1215,1
1053,1
1652,1
2925,1
2374,1
15594,2
3346,2
13806,1
3774,2
3502,1
14709,1
2207,1
512,1
4039,2
10956,1
1932,1
1595,1
2127,1
11421,1
1482,1
1942,1
12861,2
537,1
3607,2
394,1
3094,1
12626,0
3391,1
15133,1
268,2
13769,1
401,0
14751,1
388,1
4369,1
910,1
2699,2
16458,1
1103,1
14914,1
3908,2
14559,2
15313,2
15752,1
16177,1
11143,1
3463,1
2287,1
3976,1
2329,1
272,1
4861,2
2504,2
1387,1
4053,1
11319,1
14387,1
2264,1
1999,0
1817,1
10117,1
12558,1
15506,1
2754,1
3015,1
3461,1
2151,1
913,1
16064,1
11080,1
898,1
15098,1
10874,1
1527,1
1329,1
2177,1
2419,0
14041,1
11308,1
181,1
2175,0
1973,2
11183,1
13969,1
11630,1
3881,1
2084,1
1565,1
4431,1
15611,0
739,1
11498,2
9909,0
29,1
3891,0
665,1
2102,2
16161,1
556,1
1729,1
7,1
13223,2
66,1
14691,1
2929,1
3356,2
3699,1
15120,1
2950,1
3845,2
10673,1
3857,1
1153,1
11716,1
15434,1
2824,1
2462,1
1980,2
386,2
282,2
307,1
82,1
282,1
1507,1
1207,1
3015,1
14216,2
3598,1
2910,1
103,1
16373,1
3825,1
1805,1
2044,2
2603,1
167,1
16432,1
13216,1
11350,1
346,1
15310,1
1442,0
1814,1
12381,1
4733,2
4139,1
4118,0
1880,2
10791,2
429,2
879,1
1739,1
1070,1
1152,2
119,2
3667,1
10046,1
3910,2
10720,2
2232,1
1665,1
181,1
2696,1
16010,1
3208,1
3087,1
2394,2
2117,0
16442,1
1319,0
1228,1
3313,1
2721,1
14083,1
2869,1
3347,1
10907,1
3543,1
3471,1
4455,1
10087,2
1740,1
839,1
2647,1
12358,1
1562,1
1488,1
2691,1
3419,1
2069,1
1329,0
1479,1
12076,1
12292,1
243,1
530,1
14308,1
14323,0
15037,1
14211,1
3585,1
2242,2
3099,1
15492,1
2305,1
1117,1
1330,1
1972,1
2292,1
10838,1
4021,2
1060,2
1688,2
10740,2
3072,1
891,1
2596,1
2810,2
1639,1
2533,1
3656,1
3796,1
287,1
3434,1
13030,1
2378,1
2770,1
2180,2
459,1
12933,1
16360,1
827,1
2326,1
3521,1
16190,1
2205,1
1262,2
2945,1
2037,1
2878,1
3611,1
593,2
15069,1
3363,1
1349,0
382,1
2872,2
16196,2
2928,1
2828,1
11732,2
626,1
13843,1
2425,1
12637,2
193,2
12790,1
2680,1
4244,2
645,1
2930,1
467,0
10428,1
16486,2
12124,1
12696,1
16089,1
16197,1
3510,1
2538,1
2233,1
12597,2
13258,2
3950,2
2624,1
4065,1
15940,1
735,2
14113,1
626,1
3356,2
1950,1
3489,1
3913,1
726,1
11446,1
3353,2
326,1
1820,1
16292,1
1092,1
2886,1
2199,1
1410,1
11904,1
10905,1
2,1
782,1
13613,0
2034,1
320,1
10545,1
10017,1
143,1
14078,1
1958,1
12552,2
2308,1
1988,1
14505,0
3735,1
3671,1
16505,1
3166,1
281,1
3399,1
37,2
3909,1
13810,1
3694,1
2386,1
3997,1
3206,1
9958,1
13238,1
10552,0
3502,1
708,1
3727,0
12118,1
3207,2
1309,1
4051,1
12438,1
15861,1
3234,1
2996,1
3044,1
265,1
2870,1
4859,1
9935,0
2762,2
11637,1
3915,2
2495,2
1255,1
2534,2
13681,0
323,2
3533,2
3271,1
3466,1
2068,1
960,1
16338,1
12538,1
11811,1
15388,1
1710,1
1560,1
2634,1
3848,1
1475,2
3829,1
12221,2
667,2
12006,1
12395,1
1772,1
13373,1
4022,1
3037,0
4382,1
4083,1
11679,2
1933,0
3440,2
3570,2
15501,0
14879,1
425,1
10182,1
1405,1
2178,1
14775,1
3366,1
37,1
12243,1
1643,1
10128,1
1466,1
705,1
834,1
13479,0
13847,1
1079,1
2387,1
3074,1
2089,2
11205,1
3109,1
11793,1
15876,1
1876,1
1706,2
16283,1
10246,2
4084,1
3092,1
460,1
1861,1
36,1
15327,1
1262,1
10145,2
1730,1
15217,1
3621,2
3087,2
16602,1
13990,1
15155,1
923,1
1667,1
10356,1
2706,1
51,0
4425,1
11709,1
327,1
2037,1
4766,1
1625,1
11848,1
11849,1
160,0
1582,1
1020,1
4845,1
16354,1
2188,0
2183,1
3925,1
1077,1
11030,2
4635,1
3298,1
4002,1
12549,1
2155,1
1863,0
2700,1
3957,1
1957,1
1651,1
812,1
2090,1
396,1
296,1
1173,1
1903,1
4046,2
3583,1
1626,1
11075,1
10368,1
1440,1
13743,2
3128,1
12011,2
10394,1
1765,1
943,1
12551,1
2908,1
2197,1
2834,1
2610,1
15342,1
2303,1
12085,1
14268,0
11638,1
3746,1
12004,1
14927,1
1444,1
3796,1
528,1
640,1
3787,1
13317,1
2428,0
1528,1
845,1
163,0
863,1
12748,1
14688,2
15780,1
4075,1
741,1
15240,1
3597,1
4012,1
1795,1
2685,1
609,0
1228,1
85,1
3686,2
10392,1
13509,1
12645,2
14366,1
3126,1
10453,1
2279,1
4838,1
1053,1
4083,1
10757,1
2858,2
12489,1
1742,1
4222,1
13441,1
1559,1
4261,1
15289,1
10570,0
12105,1
3246,1
1841,1
2126,1
2457,1
11724,1
2145,0
1274,1
795,0
14736,1
12579,1
1538,1
15487,1
13520,2
13632,1
4010,1
15378,1
2492,1
1487,1
3527,1
51,1
2216,1
12122,1
347,1
3709,1
370,1
15869,1
2160,2
663,1
4640,2
1563,1
3638,1
2635,2
349,1
2274,1
2635,1
1114,1
4320,1
607,2
1336,1
1004,1
843,1
3434,1
2498,2
13516,1
75,1
2176,0
15558,2
2259,0
3208,1
13691,1
16200,2
383,1
1885,1
12363,1
13828,1
3781,1
15058,1
1377,2
14478,1
395,1
12119,1
14363,1
15721,1
10393,1
1042,1
794,2
762,1
15972,2
11591,1
10092,1
1696,1
1600,1
323,1
1590,1
3212,1
3871,1
3215,1
4665,1
3944,1
3488,1
12275,1
10003,1
2915,2
4849,0
15839,1
1381,1
95,1
2866,1
2058,1
2844,1
4014,1
2491,1
3913,1
14000,1
3625,1
2014,1
13311,1
16388,1
2613,1
851,1
1882,1
14506,0
236,1
2065,1
2605,1
3066,1
13232,1
2057,1
3292,1
2753,2
531,1
12691,1
930,1
4059,1
16387,2
164,1
810,1
15315,1
10346,1
4492,2
229,1
2964,2
13606,2
1897,2
9954,1
12566,1
3317,1
22,1
16095,1
3453,1
1511,1
1596,1
953,1
10232,2
1333,1
14633,1
13863,1
1341,1
961,1
13815,1
3999,1
1034,0
4502,0
1176,1
1149,1
3602,2
329,1
12955,1
14483,2
1205,1
732,1
2864,1
12658,2
2845,1
16112,1
1194,1
2340,1
2050,2
2338,1
2648,1
652,2
14310,1
12112,1
1708,1
518,1
1576,2
16401,1
918,0
1188,2
12138,1
3752,1
3877,1
10261,0
3075,1
1366,1
15990,1
3530,1
1611,1
1426,1
4081,1
15961,1
15872,2
3260,2
3821,1
12868,0
713,1
2266,2
13489,1
13180,2
16073,1
16439,1
2554,1
10252,1
14164,0
2590,2
14536,1
10468,1
3097,2
15017,1
2480,0
972,1
14729,1
11133,1
14805,1
14016,1
15415,1
1548,1
4371,1
10777,2
16250,2
1294,1
13598,1
3267,1
4520,1
10817,1
4888,1
14250,1
698,1
3584,1
342,1
1061,2
15264,1
4126,1
1406,1
4146,1
13091,1
1814,1
15427,1
1897,1
2397,1
12442,1
1954,1
3677,1
10629,2
2640,1
1703,1
