,norm
8998,2
7404,1
9130,0
9203,1
463,1
6218,2
8353,2
1051,0
470,2
11101,2
157,2
2533,2
514,2
8263,2
9952,2
5462,1
1843,2
11147,2
7666,0
2944,2
2233,2
7796,2
8863,2
655,2
195,0
5703,2
6391,2
8473,2
312,2
4321,1
4352,0
11189,2
812,2
1078,1
814,2
6272,0
4922,2
2100,2
1163,2
6981,1
10073,2
8101,1
1732,2
5840,1
5874,2
6730,2
7978,2
2770,2
5315,2
8026,2
6808,2
11023,2
9446,0
563,2
5378,0
10911,2
7656,1
5621,2
4074,1
3184,1
8490,2
8030,1
4208,1
4780,1
6974,2
6280,1
5870,0
5883,2
8898,2
7865,1
3654,2
2198,2
1752,2
371,2
704,1
2121,2
10162,0
1931,0
6416,2
853,2
8636,2
9235,2
2361,0
1972,2
9227,2
2508,2
6329,1
3395,1
323,2
4953,2
2042,2
671,0
7925,2
928,1
1528,2
4338,2
2104,2
1474,1
6162,2
346,2
7787,2
3615,2
5575,2
6616,2
6747,2
10323,2
1580,1
5401,2
442,2
6770,2
4198,1
118,2
1533,2
5861,0
10914,1
5074,0
8572,1
4518,2
2551,1
963,2
10954,2
4290,1
8540,0
6920,0
11059,1
1920,2
3892,1
10836,2
2032,2
568,2
6680,1
7444,2
411,2
933,1
6630,2
1801,2
1114,2
549,2
1406,2
10421,2
3259,2
3672,2
4895,2
1091,2
1152,1
10172,1
443,0
1191,2
6158,2
1338,2
5997,2
10392,2
354,2
10148,2
336,2
5992,2
4093,2
6940,1
363,2
5548,2
1383,2
10625,2
256,2
1130,0
11317,1
9969,2
8438,2
9634,0
109,1
4616,2
5288,0
3689,2
3890,1
11143,2
1012,2
10868,2
3342,1
2053,2
851,2
289,2
832,2
1333,2
300,0
758,2
11308,2
2912,1
34,2
7725,2
747,1
6629,2
1215,1
4582,1
3800,0
10021,2
4843,2
3565,2
1076,0
626,2
10931,2
28,2
6425,2
1758,2
6392,1
8066,2
7554,2
4760,2
1864,1
7485,2
2207,2
8368,0
1934,2
786,2
10324,2
994,1
3455,2
729,2
304,2
37,2
4901,2
7974,2
7844,0
9611,2
6737,2
8384,2
614,2
7697,2
6279,2
9517,1
3727,2
10889,1
64,0
10953,2
6803,2
6550,2
35,1
5307,0
658,0
10852,2
1523,2
8722,1
2449,2
4803,1
9219,2
8662,2
10624,2
8367,1
5135,1
412,2
6527,2
7386,2
402,1
9411,1
1357,1
459,2
7941,1
10390,2
5111,2
9892,1
11043,2
42,2
10770,2
248,2
259,2
2565,2
7804,2
4620,2
5796,2
2390,2
3716,2
6639,2
9747,2
8638,2
3486,2
3738,1
1850,2
2924,1
6893,2
5747,0
8189,2
1861,1
8628,0
6093,1
6987,1
9771,2
720,2
906,2
8544,2
9116,2
5901,2
6544,2
1461,2
9631,0
4408,2
678,1
4650,1
1049,2
10398,2
7143,2
4425,2
7326,2
1098,0
4591,1
9117,2
4891,2
8849,2
2127,2
7531,1
5466,2
3732,2
7588,2
1633,2
2723,2
460,2
10536,2
2124,2
8661,2
546,1
9604,1
1696,1
6119,2
2700,2
1177,1
11176,2
4550,2
5392,2
29,2
5326,0
1081,2
1046,2
6113,2
8023,2
7462,2
6502,2
593,2
9361,1
1343,2
7441,2
2424,2
435,2
2340,2
5179,2
9786,2
1828,2
8226,1
6535,1
8624,2
518,2
7522,2
1278,2
1256,0
9563,2
6915,2
1060,1
1088,1
85,2
5234,2
5737,2
2715,1
7821,2
9571,2
621,2
1004,2
8022,2
8867,2
11248,2
3768,1
2434,2
873,1
5497,2
488,0
9355,2
292,2
834,2
3478,1
5080,2
719,2
6959,2
8361,2
2982,1
9509,2
1323,2
6572,1
2946,2
8274,2
8520,2
1041,2
4835,2
2333,2
814,2
1552,2
9616,2
3763,2
1294,2
237,1
11015,2
10837,2
7511,2
766,2
8946,0
5500,2
632,1
9220,2
10665,2
2950,0
10985,2
4458,2
10413,0
1763,2
9331,1
35,0
5512,2
1282,0
7275,2
1145,1
8962,2
2346,2
961,2
2848,2
6594,2
6485,2
457,2
4625,2
2279,1
3118,2
7052,2
3112,1
611,2
3409,2
1605,2
392,2
3371,2
6211,2
10967,2
10038,0
11264,2
42,2
2189,1
1295,2
10698,0
5444,2
9800,2
4311,1
4589,1
7835,1
10632,2
10101,2
9923,2
5227,2
