,text
858,Nature's majesty is beautiful! *melts butter* PHOTO: Rare blue-colored red king crab caught in Alaska waters: 
14658,&# ; u a hoe broski u gotta look at dat shit&# ;&# ;&# ;
9910,Yall trustin these hoes... I've never been that gullible
3544,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;"
12346,Why is all these artist and new ones making so much trash?
11262, and bullying? I didn't know u could bully over the internet?? And the bitch came at me so idk why u in my mentions bruh
7085,they made me put on basketball shorts now I look like a confused dyke mosh warrior
2222,What u don't do another hoe will
1791,&# ; Right Idk which one was selling pussy for $ but that&# ;s way too high for them 
102, Man robin thicke all on black tv trying to get that pussy back
3030,push a bitch out a car like im Gucci Mane bitch !
1273, nips
13028, If that's what makes these fat bitches sleep at night &# ;
5887, i want it! I love her gooks! she is awesome where did you get it?
267,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up
1069,Fake ass people. That's why I don't have no respect for em. Frontin ass bitches too
3081,"&# ;&# ;&# ; RT &# ; this hoe just DM'd me sayin ""never give up in your dreams""...fuckin fortune cookie ass hoe, fuck out my DM's&# ;"
9892," Not today, bitch. Not today soooo ur a black feminist. U do know how pointless that i&# ;"
14880,This bitch isn't pretty? She's just showing off her body in pictures. She's nasty.
13744,All these ratchet hoes be on tha same stuff !
11258, Behind that twinkle in your eyes I can see the bitch in you &# ;&# ;
12590, hey bitch imy
6035, Hate shit like this bitch can't make a decent meal but can take a hell of a thirst trap 
3654,Ya bitch pussy good I ain't heard it .... I been in there! &# ;&# ;&# ;&# ;
2416, thanks hoe&# ;
5912,He's a pretty damn good actor. But as a gay man it's awesome to see an openly queer actor given the lead role for a major superhero film.
465,"Someone tell me where the drinks at. Where the bitches at. You fucking on the first night, meet me in the back. #game"
10459,"Keep it real, Keep it real, Keep it real, Keep it real. Nigga say he fucked my bitch and he couldn't wait to squeal"
10397,Coons these hoes love putting spaghetti and salad on the same fucking plate....*smh*
2819,This time a night dark skin niggas really turn into lightskin niggas I swear I seen a darkie try buying Starbucks mins ago but they closed
3579, bad ass bitch!
12750, All the niggas in the world why tf Do bitches mess with their friends nigga?
6069, guess who's eating cracker b without you
1510, I want a pet monkey &# ;&# ; 
6872,&# ; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &# ; - - - 
9393,On UPenn campus all the black chicks here are trash but they're gonna be paid
5896," "" Jammin these sad songs, smoking squares thinking bout bitches..."" lmfao"
6630, The world wouldn&# ;t be as fun if hoes didn&# ;t exist.
6132,The little bitch nervous because he not tweeting anymore
11113,"Too fast for the Feds, too cocky for the cops.. Had to ditch my old bitch, gettin sloppy wit the pots"
16560,". Thank you, Dawn. I see our state bird graces your avatar..."
1283,Zelda bitches lol 
7299,"I like good weed, I like bad bitches that can roll it.."
2556,Yanks choked too..... Lost strait remember
3273,when bitches be tryna wash their shit on the low lol funny af
10193,And I can't be known for fucking wit a trash bitch.
8498,""" I hate a ""I'm pregnant"" type of bitch."""
16037, well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&# ;
1676," shut up faggot, no one cares"
