,norm
10470,2
1527,2
797,2
5922,2
1249,1
3636,2
1601,2
10374,1
308,0
4498,2
1966,2
2067,2
10903,2
1205,2
3509,2
6744,0
3152,2
521,2
1125,2
1636,2
16,0
725,2
162,2
2845,2
4592,2
4758,1
4087,2
1696,2
2672,2
1912,2
4993,0
847,2
1788,2
11277,2
5748,0
619,2
10223,2
40,2
4359,0
10201,2
4003,2
1941,2
2279,2
2520,2
73,2
1232,2
644,2
114,1
10919,2
2095,0
2705,2
619,2
185,1
2321,2
5434,2
2641,2
1658,2
4125,1
2019,2
4268,1
11067,2
10724,2
3936,0
1688,2
3987,2
1891,2
148,2
2261,1
5926,2
1910,2
505,2
837,2
1379,2
290,2
1614,2
10911,2
4854,2
851,1
1426,2
617,2
2192,0
862,2
4624,0
6243,2
6035,2
127,2
1659,2
2549,2
2344,0
2681,2
837,2
3312,2
1715,2
5490,2
10832,2
3711,0
11319,2
2904,2
4905,2
313,2
1018,0
2158,2
858,0
6635,2
10467,2
6703,2
669,2
1284,1
74,2
2512,1
1248,2
2755,2
2159,2
5237,2
577,2
444,2
27,2
3921,2
1155,1
787,2
3628,1
4311,1
1690,1
699,2
2489,2
5657,2
5176,1
621,2
1508,0
1911,1
5015,2
2306,2
11265,2
10805,2
4145,2
4763,1
1933,2
305,2
5174,1
2548,2
1319,2
3090,1
1042,0
764,2
463,0
6114,2
4637,2
64,0
356,2
2288,2
3665,2
775,1
4604,2
11276,0
6426,2
4118,2
842,1
547,1
2204,2
611,2
4499,1
2735,0
2668,1
2440,2
622,2
1205,2
2132,0
2054,2
4220,2
304,2
472,2
5647,1
1286,1
4791,2
2225,1
324,0
1217,2
1999,2
2417,2
2431,1
361,0
585,2
1176,2
2744,2
2355,0
3829,2
4616,2
3379,1
3001,0
193,2
1067,2
566,1
6102,2
2023,0
4826,2
2190,1
210,1
10937,0
2366,0
2077,2
892,2
10457,2
4328,2
2272,0
5462,1
6217,2
4417,1
3502,0
3545,2
6517,2
1230,2
6290,0
1849,0
210,1
11249,2
3843,2
3631,1
2736,2
15,2
2631,0
3685,2
2824,2
3791,2
1021,2
10790,2
669,1
1478,0
2436,2
1972,2
555,2
2000,1
2447,1
3064,2
2448,2
370,2
59,0
10560,2
1401,2
2314,0
5464,2
971,2
2758,2
4457,2
6646,2
2975,2
5307,0
5646,2
3637,0
5890,2
1106,0
10846,2
178,2
785,2
1723,2
1828,1
2125,1
6070,2
27,2
1991,1
10893,2
1021,2
2671,2
2119,2
10910,2
