,norm
1050,2
1929,2
4980,2
1473,2
4756,2
8679,1
9349,2
10977,2
9277,1
2406,1
716,0
1101,2
4060,1
5774,2
2019,1
638,1
1103,2
7559,2
6649,0
1270,2
5898,2
8692,2
7586,2
1402,2
8435,1
8137,1
2691,2
10644,2
8836,2
832,2
2482,2
11049,2
5976,2
7834,0
11121,1
765,2
1048,2
4336,1
5573,2
8685,2
10324,2
9549,2
5696,2
23,1
3896,2
8051,0
880,1
6684,2
153,2
10710,2
4304,2
4059,2
765,0
6349,0
10133,2
4127,2
1374,2
1754,2
1868,2
8455,2
10408,2
10834,2
9703,2
5034,2
7994,2
10178,2
2597,2
10530,2
1639,0
1008,2
65,2
524,2
1106,2
1304,0
10725,1
170,2
1035,2
4686,2
1831,2
1371,1
687,2
1413,2
632,2
188,1
2389,2
8992,2
9197,1
421,2
7970,2
2184,2
775,2
1761,2
8357,2
6607,2
4138,1
158,2
10296,2
2353,2
11240,2
19,1
2573,0
1733,2
139,2
5222,2
8820,2
6074,0
6617,1
9812,2
2651,2
1893,2
1019,2
5593,2
7763,2
4062,1
5606,2
11168,2
10431,2
5816,2
8955,2
6139,1
4456,0
27,2
2366,2
1899,2
4882,2
3552,1
8764,2
609,2
9110,2
9925,0
3611,2
282,2
2166,2
2035,1
2274,2
8946,0
4984,2
965,0
9656,2
783,2
2120,2
1453,1
9128,1
10020,0
6907,0
9537,2
8751,1
4799,2
3361,1
1805,1
3508,2
10099,2
7494,2
11037,2
9010,1
2761,2
5379,1
643,1
11267,1
11207,2
8275,2
1835,2
2411,2
7433,0
1375,1
1171,1
5598,2
581,2
10688,2
11100,2
4952,2
9422,2
7296,2
5979,1
6485,2
8516,2
10982,2
5229,0
7975,2
1680,1
4277,2
1748,2
5790,2
7153,1
10063,2
1598,2
4548,1
2634,0
404,2
9811,1
115,1
8649,2
206,0
7945,2
5611,1
6575,2
6844,2
628,2
2641,2
2167,2
4189,1
6597,2
1119,2
1137,0
10579,2
2588,2
9409,2
2436,2
5804,2
7489,2
10329,2
11103,2
10572,1
5012,2
1560,2
6519,2
8848,2
3982,2
802,2
4668,2
10235,2
7372,2
11290,2
10126,2
9331,1
511,0
1051,2
10086,1
3964,2
7192,2
11124,0
7620,0
8,2
2753,2
2603,2
162,2
9955,2
10019,1
2662,2
514,2
1883,2
2450,2
8905,1
3937,1
7500,2
698,0
3672,2
6651,2
1427,2
1099,2
10799,2
1828,1
7432,2
1599,2
5210,0
11286,0
2275,1
2755,1
3786,2
258,1
2487,2
2276,2
8033,2
666,0
4995,2
7895,2
5506,2
2313,2
1567,2
11102,1
1473,2
10426,1
2570,1
2772,2
8796,2
3954,1
240,2
2271,2
3901,1
9599,2
9327,2
4842,2
7604,0
6523,1
879,1
10237,1
810,2
2122,0
1821,2
248,2
1117,0
10201,2
7898,0
667,1
713,0
10968,1
991,2
4314,1
7703,2
6250,2
9440,2
3488,2
8511,2
9935,2
1795,2
1325,1
1639,2
6630,2
1990,2
10842,0
1384,2
2158,2
2722,2
8197,2
251,0
9760,2
1797,2
2175,2
5644,2
9543,0
4603,2
8839,2
3479,2
10206,2
10666,2
7542,1
9685,2
823,2
1057,1
2604,2
7614,2
10462,2
3569,2
3619,1
4963,2
708,0
5665,2
6367,2
6958,2
8772,2
6701,2
242,2
8298,2
196,2
5230,2
502,1
1557,2
2602,2
10159,2
2170,1
978,2
2497,2
8560,1
9369,2
429,2
5227,2
2242,2
8085,0
10755,2
9186,2
356,1
856,2
729,2
9126,1
1348,2
4031,1
961,2
6789,2
975,2
4848,1
8510,2
3447,2
2463,2
6154,2
2532,2
4477,2
8241,2
244,2
2468,1
5462,1
2678,2
9034,2
106,2
9187,2
3640,2
8519,2
363,2
3323,1
8176,0
946,2
9910,2
1349,0
6766,0
941,1
1299,2
3834,1
8293,2
1754,1
2585,1
6026,1
3836,2
699,1
8345,1
3756,2
11146,2
11114,2
6886,2
529,2
812,1
6946,2
4519,2
614,2
9182,2
10224,2
5440,2
8653,2
10410,1
2004,2
878,2
1613,1
393,2
7633,2
5660,2
2343,2
1272,2
2493,2
53,0
7167,2
10362,2
10271,0
343,2
9488,2
1682,2
2305,2
6353,2
4697,2
4729,2
2786,2
7056,0
9133,2
7730,2
4463,2
2064,2
6345,2
1091,2
720,2
10174,1
5008,2
9542,2
7564,2
540,1
8331,2
9344,2
412,1
1670,2
7343,1
4721,1
634,1
6341,2
3952,1
4033,2
5856,2
1886,2
169,1
9193,1
1398,2
6860,1
2629,2
8691,2
11127,2
2642,0
1587,2
837,0
8814,2
8273,1
2159,2
8918,2
3685,2
1837,1
1637,1
9787,2
7597,2
4045,0
1649,2
1793,2
7140,2
1355,2
14,2
2391,1
4772,2
1312,2
8276,0
1843,1
898,1
2646,2
96,2
6713,2
6340,0
1635,2
1819,1
9873,0
1722,2
267,2
5292,2
7845,2
1228,1
6393,2
10833,2
3692,1
1436,2
3540,1
2787,2
417,2
9085,2
8453,2
1062,2
10846,2
7136,2
9682,1
2258,2
2528,1
1688,2
3974,2
10188,2
4925,2
8884,2
5030,1
2755,2
3803,2
6114,2
9086,2
7956,2
1471,2
1395,0
8944,1
231,2
9532,2
5909,2
1959,2
11292,2
5960,2
2466,1
2218,2
5943,2
1817,2
6588,1
5916,1
2386,2
7431,0
1652,2
1767,1
7405,2
6997,2
10540,2
1505,0
5211,2
440,2
1509,2
7346,0
10345,2
5039,1
320,2
2137,2
1365,1
7944,2
7552,1
4546,2
7004,2
7716,2
9427,1
9768,2
5165,1
7120,2
10331,2
2189,1
8071,2
4377,1
8469,2
304,2
6920,0
2322,1
1429,2
257,2
4741,2
1746,0
7404,1
3601,2
4493,2
6865,1
1454,2
8379,1
5330,2
6272,0
7663,2
7752,2
278,2
4987,2
1608,0
8731,2
6805,2
2547,2
10267,2
608,2
3529,2
11171,2
7160,2
3802,2
2451,2
1501,2
7949,2
2437,2
1389,2
5503,1
5938,2
7685,0
6800,2
1546,1
718,2
3427,2
2353,2
775,1
2083,2
392,2
11299,2
7932,1
10496,2
5442,1
402,1
2574,2
11053,2
7119,2
739,2
127,2
2757,2
9934,0
803,2
2046,2
6304,0
175,2
6662,2
7090,2
9580,1
1888,1
2379,2
6508,1
60,2
3678,2
8179,2
3659,2
9083,2
8025,2
4692,1
6842,0
10803,2
1305,2
10279,2
1451,2
915,2
654,2
892,2
4105,1
1519,1
1956,2
6469,1
10501,2
2011,2
726,2
8949,2
11270,2
310,2
5735,2
4415,2
6951,2
10971,1
10424,2
497,2
9912,2
489,2
8802,0
3635,1
417,2
4525,2
63,2
1361,0
9738,2
697,2
5956,1
2445,2
366,1
1087,2
2056,2
5629,2
10320,2
1483,2
