,text
12610, Top Thot Tattoos : ) dream catchers ) bird feathers ) inspirational quotes that they dont live by ) animal p&# ;
14741, Phil Simms is a pussy 
719,This how most of yall side hoes gone look on valentines day!! Lol 
13645,Niggas trash AF
1248, go jerk off to lollis faggot.
489,I picked Welbeck for my team. I have to be some kind of cunt yes
5446, School admins take hungry kids' lunch &amp; throw in trash because their lunch funds aren't paid up. That'll teach em! 
481, &amp; profeten voor 'm?Niemand weet exacte leeftijden maar v Aicha opeens wel.Again zelfs mn ma weet niet hoe oud z is
1407,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.
785,My Oriental Gallery Blog: The New Land of Free Enterprise 
4957,"I despise clich&# ;s... you aint original bitch, you are a copy. #deleted"
4045,"I was in the grade and this bitch said something and I went off about her momma and her. She was like ""I'm adopted"""
8354, im talking about the pucture of the pussy cat you nit twit
2245, And y'all niggas jus give up the pussy.. I wonder how y'all feel reading the TL... Nervous AF huh? Thinkin y'all bout to ge&# ;
12804,""" tuku ho idk blah blah blah"" &# ;&# ;&# ;"
11783,&# ; Oreos are basically dirt circles with cream.&# ; True.
1209,Still confused why King ordered two tranny hookers to the party last night..
6209, rape? Of course.. The only way you could get pussy. Smh
16136, Niggas loose they down bitch for a bitch who down to snitch &# ;&# ;
11914, bitch stop hating on such an immaculate suit.
13412, Wyd hoe bucket&# ; heyyy&# ;
8174," I got hit on today!!!! I'm back, bitches!!! *dies*"
15404," *when bae sings ""it ain't nun to cut that bitch off"" with too much enthusiasm* "
8182,Chase really got hoes in every state it's crazy his @ name the truth
1437, Ona niggas I'll really beat dat hoe up
10209, A woman just yelled at me cause I'm drinking a beer at am bitch I'm on fucking vacation
6407,I like to butt fuck fine ladies. Will I choke hold a bitch? Well maybe # 
41," I am a California State Assemblywoman, but remain a proud #unionmember -- celebrating #LaborDay weekend ho&# ;"
894, I heard your mama raised you like bitch
6311, Only soo much a bitch can take...
2954, you have your nips pierced too ?! &# ;&# ;&# ;
