,Unnamed: 0,index,text,class
0,0,7172,@thewagnerer fags***,0
1,1,3816,@KeyshawnSwag lol nigga them look like a combo of trash in your house &amp; trash at the dump,1
2,2,14789,RT @CraziestSex: Sucking dick &amp; eating pussy is apart of sex. If you think it's nasty then maybe your ass is too YOUNG to be fucking in the&#8230;,1
3,3,5673,@buffprobzzz the dude took off running like a bitch!,1
4,4,13091,"My nephew keeps tryna kiss me and I'm like bitch you got zero followers, dismiss yourself.",1
5,5,6083,@hellootitty nigger,0
6,6,12916,"Mother fuck everything you got going on today because I'm going to Vegas in a few hours, bitch.",1
7,7,14379,RT @BigNorton: I tweet like a nigger,1
8,8,795,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z,1
9,9,23835,"fuck ray rice ,someone crack that bitch",0
10,10,20176,"RT @theyoungdread: Words go from babe to bitch, I love you to I hate you, I need you to forget you, you're my everything to you're nothing.",1
11,11,2749,"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao",1
12,12,18341,"RT @_ShesSuchADoll: ; straight &#128686; ""@DrewWhosUrDaddy: To each his own @wizkhalifa but these hoes weak http://t.co/W7TEj28aNr""",1
13,13,24478,stupid teacher talks to @RandyMower like he's retarded,2
14,14,4754,@Stephicans mhmm tweet bird &#128037;,2
15,15,6685,"@mike_ray7 congratulations, you are officially fucking retarded.",0
16,16,10198,"I don't feel like all black people are niggers but if you're black and you're being a nigger, imma tell you, idc",1
17,17,13154,"My teacher always says ""Has a man ever abused his wife while using marijuana? Not unless she hides the Oreo cookies then she deserves it.""",2
18,18,15993,RT @Kevineffinskaff: My idea of a diet is eating regular Oreos instead of double stuft and takin off half the cookie (still dip it in 2% ...,2
19,19,434,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",1
20,20,24707,will u love dat nigga even if he lose it all... or will u dip like the groupie hoes searching for another &#11088;&#65039;,1
21,21,18295,RT @_JioVanni: These bitches play on everybody's team,1
22,22,14545,RT @ButtholeTeeth: Your pussy looks like it died six months ago.,1
23,23,2204,"1, 2, 3, 4, 5 I&#8217;m too drunk to walk, let&#8217;s drive. I got bitches with me all night And the party don&#8217;t start 'til the drugs arrive #Loaded",1
24,24,11953,"It's lame that you can buy clothes that look like real military clothing.
If you wear it I will make fun of you.
You're a 4 star bitch.",1
25,25,15077,RT @Durags4Eva: Bulls still not winning the title with this bland ass offense. Pau still a pussy. No darkskin niggas in the starting line u&#8230;,1
26,26,20137,RT @the_ironsheik: My #tbt I learn the English from that jabroni big bird but I break his fucking neck http://t.co/vDpIq8Zuxo http://t.co/4&#8230;,1
27,27,19612,"RT @macktology101: ""Hehe"" hoe quotes",1
28,28,12912,Mother Nature hates the Yankees and baseball,2
29,29,17831,RT @Trap_Jesus: RT @StrangePintura: &#128557; RT @TheRealTenski: She went all the way to Home Depot just to take a sink pic I hate you hoes http://&#8230;,1
30,30,3880,@LadyVodkax yer dirty pussy,1
31,31,3551,@JHafe big booty hoes!,1
32,32,6043,@greekkid31 @TaraSetmayer @TheWillDunne yes true reagan was the first..ike wouldnt. While president and he was supreme allied commander.,2
33,33,7822,As if it WASNT gon get Bacc to me &#128514;&#128557; bitch your outta your fuccing mind,1
34,34,21565,The heat will make you wanna put hands on a niggah &#128166;&#127386;&#128544;&#128072;,1
35,35,9044,Faggot ass bitch nigga,0
36,36,3968,@LukeTheTruth you went IIIIIIINNNNNN on this hoe bro!!! http://t.co/MH46XxNU0n,1
37,37,15843,"RT @JoeCool_TVC: You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out.",1
38,38,11398,"I'm starting to not like meek, this nig a lil to arrogant for me",0
39,39,4492,@RavenPeltier_ these hoes ain't loyal,1
40,40,8799,Don't get yo bitch ass killed in new Atlanta baby!,1
41,41,22348,U serious bro?? lol RT @CheezMoeJenkinz 2-3:10am early bird special,2
42,42,436,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd",1
43,43,12043,Jealous ass bitch tryna turn me to a lick but you won't live to see that shit,1
44,44,8168,"Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.",0
45,45,10277,I fear no niggah I trust no bitchhh..,1
46,46,8181,Brilliant job by @NelsonCanache to limp it back to the pits without causing a yellow. Wish he didn't need to though. #PLM,2
47,47,19387,RT @juicygenie: @thotpockets fat bitches that think they cute,1
48,48,20055,RT @spiffytwiley: @vintage_monroe_ bitch you gorgeous,1
49,49,6170,"@infidelpamelaLC #Allah can KISS MY ASS!
And yes, MUHAMMED was a bitch! Just like OSAMA BINLADEN!",1
50,50,12754,"Man, that is a serious shiner Chara's sporting. Yowza.",2
51,51,6759,"@nekolin @DestroTheNoble naaaa, just the faggots! So....I guess you wouldn't be around very long....would ya!",1
52,52,20807,Shout out to babes @Anastacia_Cole! Love that bitch. &#128536;&#128073;&#128076;,1
53,53,13558,"Oh you want pho? Well saimigi is ghetto pho, eat that shit since im broke&#128564;&#128514;",1
54,54,22625,"What these bitches want from a nigga?, like on some DMX shit",0
55,55,4336,@OlTimeBaseball @Yankees @PaulONeillYES that matters ?,2
56,56,19139,RT @iCumNpeace: Niggas talk more than bitches these days...,1
57,57,3455,@IIXIXIII bruhhh I'm joking... Don't pop trunk on me I'm just a bitch ass niiiieeegggaaa,1
58,58,10166,I cut you out of my life for a reason you stupid bitch.. don't follow me on twitta,1
59,59,12297,"Laat Zihni Ozdil met rust jullie gemene trollen, hoe durven jullie zijn mening in twijfel te nemen! Zijn zegje is wet en*kuch**kuch*. .water",2
60,60,17744,RT @The_April_Fool: Fucking with them hoes! &#8220;@Marc_withdaC: &#8220;@CamBlunt: my nigga waka i hate it had to be him http://t.co/E12YlM2yVa&#8221; man t&#8230;,1
61,61,12467,Literally just got shit on by a seagull..... You're gonna fuckin die bird,1
62,62,22949,"With the bitches @moonsnlullabies, @LaLeaa_, &amp; @DayReeee &#128109;&#128111; &#128139;&#128168; --- @HookahDrive",1
63,63,8017,Big bitches be like &#8221; Im Thick&#8221; yea bitch atound the midsection,1
64,64,2350,@AJ0427 Just watched the Llewyn Davis doc. Warm fuzzies abound &#9786;&#65039;,2
