,class
14174,1
1127,0
4285,1
12492,1
10021,1
6499,1
9421,1
7363,1
17959,0
17000,0
8743,1
2027,0
17379,2
260,1
14242,0
3704,1
18424,0
17953,2
10117,1
3999,1
2742,1
3942,1
2961,1
4177,1
14847,1
18010,0
10846,0
60,1
2042,0
19244,2
4691,2
17218,1
1059,1
13249,1
1089,1
13402,2
8981,0
2618,1
15054,1
13804,1
8804,1
19748,0
3357,1
8232,1
14664,1
14757,0
14342,1
824,1
6873,0
16850,1
4052,1
1715,0
4418,1
14526,1
2094,0
17429,0
10163,1
16388,0
7728,0
14784,0
7158,1
15751,2
6226,1
1845,1
17154,1
16941,2
17470,0
8389,1
8155,1
751,0
9540,2
10070,1
6732,1
15970,0
11664,1
1174,0
17902,1
4337,1
7604,1
2354,2
1069,1
4470,0
8583,0
744,0
15366,1
4158,1
14709,1
2914,1
15745,1
14374,1
1743,1
13420,0
6866,1
4392,2
1965,1
13815,1
12753,0
16306,1
12208,1
2171,0
15466,0
10242,1
3798,1
6302,1
3266,0
2823,1
3241,2
16520,0
9988,2
2660,1
1593,1
3098,0
13752,1
14618,1
12623,1
16223,1
6878,1
19997,1
6407,1
19898,1
1622,1
19557,2
1484,0
15650,1
246,1
2681,2
799,1
17284,2
3628,2
20114,1
15364,1
2990,1
4062,1
15551,2
17965,1
10798,1
8696,0
6147,1
20011,2
16423,1
930,0
2179,1
1605,1
4525,2
14793,0
12009,1
11104,2
17327,0
3258,0
15157,1
11414,1
18485,0
15589,2
1109,1
11535,0
19941,2
17538,1
3687,2
15640,0
7030,1
2023,1
10910,1
8451,0
9017,0
12912,1
17227,1
4396,1
3059,1
10068,1
2918,1
2779,1
12002,2
1431,0
12502,1
13844,1
17728,1
10510,2
2038,1
11279,0
14315,2
946,1
7209,2
2202,1
3959,1
79,1
7074,2
2593,0
14069,1
12621,2
14285,2
3367,1
2338,1
13211,0
16713,1
4008,0
4132,1
2679,1
19567,1
1077,1
11883,1
16845,0
3608,1
422,1
6944,1
6957,0
19559,1
16468,1
17457,1
14960,2
19467,1
848,2
17367,1
10605,0
4521,1
9225,2
1963,1
14182,1
8528,1
10154,1
18156,1
13251,1
19776,0
12731,0
158,1
15393,0
662,1
15473,1
11534,0
18209,0
9582,2
7091,1
1786,2
4114,1
7782,0
403,1
4230,1
4882,1
7483,0
12385,1
7144,1
13787,1
2717,1
4744,1
7321,0
19771,1
14916,1
13091,1
7560,0
360,1
14843,0
10868,1
10103,2
12131,1
14370,1
2095,2
4298,2
1303,2
9298,1
3851,1
8889,1
3298,0
690,1
19799,0
19664,2
3844,0
4014,0
714,0
4650,1
18858,0
19092,1
15344,1
1659,1
3740,1
14037,1
93,0
7208,1
18591,1
1576,2
11512,2
8763,1
4602,0
9607,0
4394,1
18733,1
2190,1
17938,1
11048,0
13749,1
483,0
9991,1
8293,0
4774,0
2943,1
846,1
15680,1
10983,0
7190,2
4902,1
3517,0
1204,1
11576,2
3010,1
15594,0
18446,0
20178,0
3877,1
1461,1
17720,2
779,0
13683,1
277,1
18493,1
2353,0
1228,0
1881,2
4807,0
2258,1
496,1
4498,0
6702,1
4133,1
11153,1
19287,2
11261,0
10742,1
1129,1
1081,1
10278,1
9608,1
2502,1
13920,0
10325,1
1547,1
8465,1
2365,1
3403,1
20057,1
12618,1
3612,0
18155,0
4303,2
11966,0
3103,1
18540,0
9511,1
3623,1
1907,2
6317,1
18106,1
3890,2
155,1
2316,2
10491,0
2413,1
110,1
17297,1
16076,1
5889,0
3866,1
7750,1
13599,1
14895,1
1613,1
9992,2
18149,1
6954,1
2776,1
19453,1
16270,1
15937,1
15614,1
7077,2
17323,2
557,1
16911,0
3453,2
304,1
4560,1
17261,1
3877,1
3337,0
15297,0
858,0
19253,0
1799,1
3523,1
989,1
2603,1
2884,0
14663,1
4290,1
3414,1
18074,1
1771,1
16488,0
2796,1
697,1
4678,1
4896,1
2418,2
12275,1
8973,1
559,2
13117,2
4734,2
1129,1
20144,1
14218,2
1647,1
1244,1
772,1
8149,1
18655,1
2469,1
1967,2
3074,1
7891,2
15659,2
8638,1
10957,1
2450,2
16233,1
18866,1
8577,1
1943,2
4955,2
3043,1
19817,1
3715,1
708,1
4302,1
10548,1
10341,1
10448,1
4330,0
4562,0
16280,1
3431,2
405,2
13827,1
17546,2
10963,1
19645,0
1440,0
6678,1
20107,1
14906,1
18298,2
3214,1
3319,0
