,text
14174, get some sleep pussy.
1127," so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!"
4285,"At ' ? Good luck Nh nh I'm ' , . One of you bitches better reproduce with me. I can give you an athlete."
12492,Aint no pussy better then perk pussy
10021,"If I was stranded on a desert island and I could only bring thing, I would bring Dora. That hoe has everything in that backpack."
6499,"&# ; Nigel, you don't think he knows what he did was dumb? How smart are you?&# ; Shut your bitch ass up"
9421,"&# ; Bout to ride my horse, to come fuck yo bitch.&# ;Ooh @ em tho"
7363," ""You gotta have luuuuube/All ya really need is luuuube!""- Dental Dam Yankees"
17959,""" Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
17000,RT I'm not sexist but male comedians are so much funnier than female ones
8743,You&# ;re a bitch Ain&# ;t seen y&# ;all lose that bad since&# ; At work slitting my wrists currently. Thanks tom brady
2027, Because most of them are Muslims and most are impoverished.
17379,"Drake T.I&# ; &# ; Stacks, Kendrick Name a rapper that alot of people like...but you think is trash&# ;&# ;"
260," That's how niggas get cheated on. She lie in ur face bc she in denial about her hoe actions. But she tell her homegirls ""it&# ;"
14242,"Make no mistake, they'll ridicule u, ! Most of ugirls should go out with no make up at all tonight.. No one would recognize you"
3704," "" Pretty bitches rep Taylor Gang"" #Hollah lmfaoo"
18424, The terrorists themselves trumpet their allegiance to Allah and their religion. It's stupid to pretend away...
17953,"Whipped cream &# ;,&# ; #endlesslove"
10117,Merry Christmas to all y'all bitches and hoes
3999,fuk you u stupid twat fuk upd dik suker and wipe that cum off ur lip
2742,You hoes complain too much.
3942, David block that bitch
2961, I remember I tried to fake rape a bitch before and she was way too strong Smfh .. I felt like a bitch!!!
4177,"Hate a hoe that think relationships are seasonal.. ""Winter comin, Let me get me a boyfriend"".. Sound dumb as hell.."
14847,Fuck Ya feelings ain't no sorries bitch
18010," This means that if you want to establish a humanist ideaology, Islam will get in the way much more than Buddhism."
10846, fuck those faggots
60,Come back hoe 
2042, faggot
19244,"I wept when #ThurmanMunson died, and I weep years later. #Captain #Yankees"
4691,Just in case the day couldn't get better wife's Rav had a flat and being the redneck I am I put inch rims on it so there goes $ x 
17218,You cant tell these bitches nothing... they belong to the city
1059, might havti give you a visit. This cunt isn't going to have a family when im done.
13249, Happy Valentine&# ;s Day big booty bitches. &# ;
1089,And mad hoes you can ask Beavis I get nothing butthead
13402,I show do like The Jeffersons. Dat George make me wanna open up a dry cleaning stow and call all da white folk honkey
8981, Islam invaded and conquered / of Christiandom before any Christian crusades in response. The writer is a liar.
2618, if he wants bitches tip toein on his marble floors he will &# ;
15054,"When I be that pussy, I be calling you my Bitch."
13804," ""Here she go being a hoe again""-dog "
8804,Rack city bitch !
19748,RT Im not sexist but feminist piss me off..
3357, bitch trying to turn this shit like Facebook
8232," "" &# ; Not looking for love, one day it'll find me. Until then.....&# ;Keep fuckin dese hoes&# ; yolo""&# ;&# ; I ain&# ;"
14664, Everybody think i get hoes and think ima playa but honestly im in my crib wondering bout if my mom making yellow or whi&# ;
14757," ""They have to concentrate in the nd half of this half"". Wise words from our female commentator."
14342,In other words call you a bitch.
824,"Heeellllooo "" If a bitch keep hitting your nigga phone... It's because he's still entertaining her &# ;"""
6873, faggot
16850,"niggas need to learn to ride for there homies, not for the crew hoes smfh."
4052, I think I did my job here! Toodles to you bitches &# ;&# ;
