,class
5049,1
9982,1
4950,1
647,1
7419,0
2512,1
7539,2
9355,1
7887,1
4073,1
828,1
14476,1
4108,1
11060,1
554,1
2888,1
2930,1
2884,2
2410,1
6179,1
265,1
1351,1
12300,1
2128,1
3694,1
591,1
1053,1
6288,1
12993,1
1588,1
13363,1
9698,1
12477,1
706,2
9897,2
1046,1
3601,1
8975,1
1963,0
1512,2
13858,1
2946,1
11443,1
269,1
3818,1
5032,1
11100,1
293,1
2891,1
4165,1
3397,1
4032,1
4166,1
600,1
903,0
3548,0
4638,2
2283,1
8658,0
6557,1
2964,1
3539,2
3613,1
1626,2
9328,1
3788,1
10467,2
1836,1
890,1
12701,1
3710,1
3908,1
683,0
2878,1
14507,0
9311,2
11586,0
616,1
3632,2
10313,1
11456,1
6362,1
8913,1
4841,1
1371,2
11127,1
28,2
8729,1
11733,1
147,2
9602,1
10180,2
2045,1
4233,1
1883,1
13762,1
946,1
3677,1
11455,1
471,1
5551,2
2802,1
1197,1
10970,1
1943,1
3328,1
7526,1
4299,2
6422,1
8396,1
3008,1
5134,1
1103,1
12188,1
12547,2
13316,1
833,1
10200,1
3111,1
3938,1
5385,1
11305,1
2291,1
2514,1
10570,0
11394,1
3443,2
10808,2
1588,2
13491,1
14091,1
4812,1
1543,1
823,1
2937,2
14337,1
5020,1
4034,1
2483,1
4662,0
2688,1
8043,2
3300,1
7119,2
13354,2
6980,1
6722,1
5822,1
1844,0
1655,1
3840,1
10984,1
10540,1
13655,1
4184,1
8890,1
3509,1
13069,1
13648,1
13178,1
11712,1
12328,1
2731,1
6438,1
14333,1
3506,1
3748,1
6400,0
6750,1
400,2
8182,1
2263,1
6781,1
3778,2
2729,1
1248,0
4650,1
4081,2
9278,1
13256,1
9876,1
1584,0
4983,1
3709,1
832,1
13007,2
13400,1
14425,1
2269,1
11410,1
2578,1
1469,2
12346,2
3908,2
5393,1
5680,1
8873,1
7800,1
4335,1
14688,2
9101,1
181,1
2501,1
1382,1
2427,1
11666,2
5760,2
11612,1
3544,0
14753,1
3800,1
10091,1
1110,0
14413,1
1083,0
1949,2
12380,1
138,1
1950,1
3976,1
8510,1
10206,0
3384,1
3298,2
5411,1
12942,1
10663,1
5718,1
3449,1
14763,1
14828,1
11317,1
3460,1
3257,1
6851,1
8360,1
3745,1
2837,1
7066,1
6533,0
6670,1
6281,1
3986,1
12168,0
3815,1
1481,1
7912,1
8700,0
10711,1
1995,1
7977,1
11222,1
112,2
11939,1
3305,1
8952,1
7867,1
1514,2
11941,1
6473,1
3819,1
843,1
3171,1
8292,1
3370,1
3263,1
4828,1
12272,1
9467,0
6431,1
2944,2
3845,1
8710,2
1070,1
2626,1
4127,1
4781,2
6806,2
3807,1
14357,0
6442,1
743,1
3436,1
3719,1
3111,1
2034,1
324,1
2950,1
699,1
3785,2
3607,2
9762,2
7315,1
3960,1
3657,0
1713,2
14882,2
7626,2
3548,2
524,1
9974,1
7262,2
3712,1
2447,1
11951,1
2235,1
11978,1
7958,1
411,1
10445,1
3923,1
2186,1
1785,1
8089,1
13012,1
13189,1
2732,1
3701,2
10379,1
5016,1
10503,1
2466,1
2990,2
1273,1
3428,1
14786,2
3711,1
8353,1
2332,1
2059,0
3581,1
5660,1
1374,1
1646,1
14002,1
14817,1
9353,1
1469,2
9349,2
7777,0
8809,2
7746,1
649,1
3912,1
14384,1
4072,2
3496,1
561,1
5927,1
10805,1
2858,2
6894,1
3409,1
3468,1
3003,1
2115,1
3412,1
4804,1
13814,1
12504,1
3354,1
3949,2
8323,1
10823,1
9230,0
2618,1
10105,1
10497,1
2415,1
7592,1
7488,1
180,1
3969,2
13008,1
9442,2
4361,1
7481,1
7711,1
3337,1
13100,1
1510,1
1519,1
2085,2
13966,1
12913,1
5928,1
3047,1
2772,1
1674,1
1400,1
12397,2
12712,2
5717,1
3415,1
7097,1
11015,1
4286,2
2448,1
8587,1
950,1
14269,1
6831,1
2872,1
1373,1
9952,1
65,1
7235,1
1138,1
2375,1
10429,0
1408,1
443,1
7290,1
1465,2
1645,1
2266,2
13343,1
5031,1
1819,1
10873,1
3511,1
1907,1
14686,2
526,1
302,1
14399,1
8725,1
862,1
11091,1
7370,1
3755,1
3336,1
558,2
4473,2
2386,1
338,1
5174,1
6012,1
8333,1
2583,2
13898,2
13586,1
2617,1
3459,1
8786,1
14656,1
10176,1
12981,1
1120,2
14236,1
3786,1
1169,1
2906,2
8465,1
4215,1
6161,1
2448,1
4272,1
681,0
4720,2
594,1
12244,1
14082,1
8254,0
3921,1
3619,1
14820,1
7811,2
1442,1
107,0
6276,1
5661,1
10865,1
12927,1
5495,1
3172,1
4316,1
10786,1
1749,0
7404,1
739,1
5734,1
2783,1
2286,1
1253,1
4924,1
2851,1
3753,1
5764,1
1492,1
3450,1
8699,1
6499,1
4658,2
10675,1
9128,1
8407,1
3439,1
3827,1
8904,1
7250,1
13394,1
10328,1
11110,1
6354,1
3258,1
10981,1
3824,2
5715,1
5654,1
5311,1
3884,1
494,2
1441,1
2468,1
13312,1
3282,1
13669,1
1567,1
2859,2
14792,2
4808,1
3852,1
8440,1
8541,1
190,1
1256,1
7930,1
3843,1
11527,2
9234,1
12860,1
2019,2
609,2
6968,1
10946,1
4864,0
8921,2
14319,0
3391,2
3644,1
11702,1
9206,2
8630,1
1580,1
1392,1
3553,1
956,2
2483,1
12270,1
10375,1
46,1
9337,2
2828,1
2850,1
11719,1
9454,1
3089,2
3494,1
2834,1
2047,1
14276,1
9086,1
10827,0
14517,1
14127,2
3115,1
2258,1
3314,1
2063,2
8057,1
854,1
10486,1
14889,2
10812,1
10391,1
11865,1
14294,1
5741,1
7677,1
3533,1
5192,1
3723,1
5097,1
720,2
13843,1
6658,1
2456,1
2136,1
13662,0
2432,1
7188,1
1718,0
3470,2
1693,1
3903,2
9886,1
12812,2
10693,0
344,1
2416,1
9389,2
10691,1
11284,1
163,2
10590,1
6728,1
5171,1
13834,2
9516,1
1725,1
14478,1
4708,1
2730,1
470,1
8797,1
14868,1
12566,1
9525,0
14220,1
3524,1
1700,2
5914,1
3743,2
10033,1
2469,1
2299,1
7320,1
3174,1
7052,1
3295,1
1281,1
12250,1
5087,2
2043,1
5060,0
907,1
12524,2
8466,1
6353,1
6173,1
7337,2
3344,1
3704,1
14335,1
606,1
3389,2
42,1
4255,1
14645,1
8944,1
10223,1
3244,1
12757,2
2908,2
10797,1
13458,2
4155,1
1391,1
8203,1
3623,1
2900,1
2875,1
9343,1
3154,1
1006,1
261,1
3194,1
9957,1
348,1
7707,1
