,text
5049,That's how you know who be lying about getting in the pussy..talking about tasting like water and fruit and shit..tf is that?
9982,When a super bad bitch walk past u and u can't help but stare 
4950, I think I'm addicted to naked pictures and sitting taking bout bitches that we almost had&# ;
647,Thanksgiving early hoe 
7419,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race"
2512,Im elated i passed on my creative gene to my daughter but she also got the retarded gene too.
7539,&# ; where am I on this rating scale???&# ; Depends. You still wearing them colored contacts or naw?
9355, Congratulations brother! We in that hoe!
7887, &# ; &# ; That pussy so wet she gotta dry outside&# ;stop telling my business&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;
4073," LMAOOO @ ""black fag""..... why did I misread that??... I'm blocking you"
828, y u arguing with that ugly bitch on twitter
14476,You think she classy niggah but she really ratchet
4108, Why are pussy farts so embarrassing ? &# ;&# ;&# ;
11060, would I be a bitch if I said yea but never told you where I stay at?
554,Well i feel like a bitch.. &# ;
2888, LOL that hasn't worked well for black folks in the past. They better bring a few crackers with um.
2930," "" Mean girls are just honest bitches. #Truth"" "
2884, dawn of the planet of the apes of the four calling birds of the three french hens of the two turtle doves of the partridge in &# ;
2410, fuck you both bitches.
6179,"If my anger materialized, it would be a fucking atom bomb to blow this bitch up."
265, billy goat hillbillies you sucking &amp; fucking. You disgraceful brazzen faced unabashed pig
1351,Marijuana turn good pussy great..
12300, buy the girl stuff you twink ass bitch
2128, if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao
3694,The last time your pussy was salmon pink was. ....
591,But I'm calling this bitch yeah ok after you called me I return calls especially if it ain't my girl&# ; 
1053,Gimme my grade bitch you know wat I'm trying to spell
6288," You go back and forth with a girl, youre a ""bitch"" you let her disrespect, youre a ""bitch"" LOL"
12993,OKC nigguh
1588," Chief Keef changed the rap game when he said ""bitch I'm cooler than a cooler"""
13363,""" annoying bitch that I love JUDYANN'S SO PRETTY!!!!!"
9698, The person below is into big booty bitches&# ;&# ;
12477," big booty bitches , big booty bitches ;*"
706,Charlie Baker for Mass Gov..the most lib newspaper in most lib state supports 'R' for Gov! DoG via 
9897," Last name, Sinner First name, Imma Like ur pancakes in tha mornin, He got u covered like Aunt Jemima"
1046,Nigga hungry then a bitch too
3601, walk like a big bitch now.
8975,"His boyfriend gonna be like ""You ain't make a team? I'm straight fag. "" ....... The rams really cut Michael Sam. Wow."""
1963," Here's how your ""suggestion"" plays out Racist: ha, those niggers stopped callin each other nigga The end"
1512, I skipped the running. And am eating chips. And brownies.
13858,Whenever you need your hoe protected on social media or anywhere in the world? Please contact and he'll fight for that hoe.
2946,its been years and this bitch still thinks im over how she did me over. I dont think so. *decline*
11443,Retweet to spam this faggot Dick going &# ;
269,"It's really a bitch when you're trying to make a difference to someone else, and they intentionally make a point to make you feel like shit."
3818,Yall bitches should be girlfriends for Halloween since yall been sidechiccs all year &# ;&# ;&# ;
5032,"Fuckin' moron, snortin' oxycontin, wearin' cotton, oxymoron, like buff faggots playin' sissy dikes"
11100, Wake up you dumb son of a bitch
293, plz come down here im really sick of your bitch ass talking shit plz come down here it going to be on 
2891, it's fucking real retard holy fuck can you not read my tweets fucktard?
4165,&# ; Who clothes in the dryer? I'm tryna dry my clothes&# ;throw them hoes out
3397, don't make me pull out the pokeflute hoe 
4032,Just got rich. Took a broke nigga bitch
4166,Happy birthday nig ! Miss your black ass &# ;&# ; #TU
600,*Gigantic RT What a big faggot. Chubbs bout to Earl.
903,My neighbors be sick when i wake um up to all this nigger music ctfu
3548, &# ; Some of y'all hoes so worried about y'all eyebrows y'all forgot y'all had a mustache &# ;&# ;&# ;&# ; LMAO
4638,Paceys just told me about how flash was touching himself and he was turning yellow and black.. #whatwashedoing &# ;&# ;
2283,Eattin all this pussy im startin to get chubby
8658,And I wanna say something SOOOOOO bad to these two cunts on Twitter eh..
6557,looks like my highlight of the night will be getting Lewis and having a quick fag outside work #shite
2964," &# ; I hate a ""I'm my own WCW &# ;"" ass bitch &# ;&# ;"
3539, I wake up in the middle of the night and chug the orange juice straight from the bottle. Sorry mom.
3613,Technically all the niggas that touched her raped her an when she see she trendin on this bitch she callin the cops lmao
1626,"you know what they say, the early bird gets the worm. *puts gummy worms in your morning coffee*"
9328,#honestyhour we don't love these hoes
3788,I'm dressing up as an albino one day and scaring the shit out of amaris' mom
10467,"Char-broiled #cod, yellow #rice, saut&# ;ed spinach and artichoke hearts. Made with love for "
1836," The problem with retard liberals is they think Supply &amp; Demand means ""Supply me with everything I Demand."" #VotingMatters"
890,"He be like ""bitch dontouch my braids"""
12701,"Nothing is too spicy. And if it is, ) stop being a fucking bitch ) eat more of it ) cry you fucking pussy"
3710," Kobe: ""That's why yo man want me hoe"" guy holding his face: ""Omgod kobeshia shut up"" &# ;&# ;&# ; "
3908,bitches 
683,I'm already tired and mr stupid af decides to show us a video on trigonometric notions so um yeah I just wanted to say you're a hoe
2878," Y'all niggas ain't low tho. Y'all really be comin at these bitches on here then when they curve u, u act like u was playing&# ;"
14507, stfu u ugly dyke
9311,Thank you Charlie 
11586,The South is full of white trash. The Midwest is full of white trash. The West Coast if full of white trash.
616, WCW goes out to all the women with their shit together because these pretty bitches get way too much credit for being cute w&# ;
3632,Iggy is trending. Twitter's trash today.
10313,I'm talkin bout superb punching. The ref wAs on some hoe shit against Carlton Haywood. Dude took a full minute of unanswered 
11456,' All the hoes loyal &# ;&# ;&# ;&# ;
6362,"If ur bitch starts fukin yappin tae, ill make sure i break something vital. Warning: call polis with hazard that results in permanent damage"
8913,"I'll break any bitch nigga down, I don't care about your size."
4841,"I smell I smell I smell, pussy"
1371," this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut "
11127,I look like Denzel when I tilt my head to the side too bitch
28,Mother Nature hates the Yankees and baseball
8729," &# ; Can't believe I actually killed a cockroach.&# ; smh you a bitch, that was probably ma nigga Eduardo"
11733,This bitch and her cankles
147,As soon as a Democrat gets a chance to ? the political hack #foxnews goes to commercial then back with Bolton LMAO #teabaggers #benghazi
9602, I hate wen hoes lie and say I fucked em #signedtothestreets 
10180,"Calling out teabaggers, conservatives on their BS: via "
2045,"&# ; &# ; Where the bitches at ,?? &# ;&# ; yeah where they at &# ;&# ; I don't know they probably at that Party &# ;"
4233,"Apple sauce, bitch."
1883,Ain't this a bitch---&gt; Clock mistake in Alabama-Arkansas - via Champ Drive 
13762,Ima pull up eat on that pussy and dip...
946, text me bitch
3677, Some men say they&# ;re afraid of having daughters bc they don&# ;t want them to turn into &# ;hoes&# ; or w/e.
11455,"""By the way we do punch bitches."""
471, if somehow u didn't already go I'm down nig
5551,Penn State tryna slant and screen all the way down the field lol
2802,You say you gotta new bitch?
1197, #wcw both the babes &amp; . &# ;&# ; love thse sexy bitches!! #bestfriend #babe&# ; 
10970,The lies on this here Twitter &# ; You niggas wouldn't know grade a pussy even if it slapped you cross the face !&# ;
1943,"&# ; #Mondays are a whole lot better when you're driving a vehicle ""That white pussy uhhh get ya"""
3328, ur a boss ass bitch
7526,Happy Easter you dirty sons a bitches! #NFG #WGE #FindTheEggs #EggsAreInHerAss 
4299,Browns and redskins shouldn't be considered nfl teams
6422,This bitch on Maury got baby daddy's!
8396," "" How do you cheat on this ? &# ;&# ; She's just like any other female with a pussy so who &# ;"
3008, My friends the Malibu has the legroom and ventilation necessary for professional pussy-eating. Visit your Chevy d&# ;
5134, get downstairs you fucking pussy
1103, Ready to slay these bitches and im not even half way thew my soak 
12188, because them niggas that told you bitch made &amp; they not real niggas or any kind of real
12547,&# ; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &# ; - - - 
13316,I love these stupid holiday commercials... you thought you were going to get a car? Nope bitch you got an ugly ass sweater
833,I don't live for you hoes man
10200,Can these birds shut the fuck up
3111,#FreeballoutPartyPart bitch it's going! mo weeks&# ;
3938,Paula Patton pussy got a nigga on stage on his knees talmbout he gotta get her back tonight
5385, this faggot is a lil attention whore fuck him #mute
11305," Ya bitches got boddies but act like they dont count cause ya ""loved"" each other lmaoo"
2291, &# ; Lord please don't let this bitch kill my vibe.
2514, Not into dressin' to impress these bitches or niggas...
10570, fuck you fag!
11394,"Same shit But your bm tho? ... "" If my ex wanna go fuck my enemy, may God be with her. Ain't my hoe no more."""
3443,. doesn&# ;t it always feel like we go into the season with offensive concepts that we inevitably trash and then we get good?
10808, When you eat food that's too hot and start breathing like a retarded dragon.
1588,""" &# ;&# ;&# ;&# ;&# ;"" I got hicks lol"
13491,Any pussy I had I can get again!
14091, Still Texans nation hoe.
4812, that hoe over there
1543,"If i straighten my hair, it's gonna be long and the hoes gonna hate &# ;&# ;&# ;"
823," lmao I've always wanted to ski..bust my ass or not I'm innat hoe, fit and all."
2937,"Let's play ""What will the ghetto white girl with neck tattoos in front of me buy."" If you answered Cigarillo's...you've seen this episode b "
14337,One thing about it .. I'm a loyal a$$ nicca
5020,&# ; Got the carburetor foyer my #chevy c being rebuilt by my #redneck friend ... everybodys got one!!&# ; I need they can build
4034, quit using song lyrics queer
2483, and stop covering yo goddamn face like the kkk. Yo yung silly ass co signing for pussy.
4662,"No half-breed spic has any right to say anything to any Anglo ever, and should be killed for doing so."
2688,"animal crackers are the fuckin bomb, yo"
8043,Yanks won't make the playoffs but we ain't in the AL basement. That's the Red Sox position: 
3300," I don't stand in line at clubs, the security come escort me in. Yellow diamonds tell a bitch get over here, Scorpion."
7119,"Thank you, hand out that candy Charlie "
13354," A Muslim wmn covers the yellow star of Jewish neighbour with her veil to protect her, Sarajevo, . "
6980, hii fag. :)
6722,"Just smoked a whole th of that Reserve, thanks to my niggah "
5822, Hoes tweets be like put that dick in my throat I won't choke then when you ask them about it they say its a song hoe wh&# ;
1844, shut up you stupid bitch
1655,Ahhh fuck it let's go rows for the hoes 
3840,"Black Dynamite! &# ;&# ;&# ;&# ;&# ;&# ; ""All the hoes gone?! My dick harder than slavery!"" *wall-slides*"
10984," I want a real relationship &# ;&# ; no games, no lies, no side hoes, just me and you &# ;&# ;"
