,class
713,1
2803,1
896,1
14241,0
4018,1
16199,1
17212,0
4247,0
18028,0
1787,1
6233,2
9449,0
11156,2
7361,0
1092,0
16627,0
1499,1
3386,1
11105,1
2935,0
10467,0
16879,1
6199,1
1823,0
6604,0
12760,1
3766,0
1975,1
6395,1
16317,1
4697,1
10352,0
15251,0
4346,1
5590,1
10300,1
5395,1
14903,1
8279,0
8276,0
9640,1
15548,1
4664,1
5601,0
1253,1
3955,0
739,1
3230,0
4806,0
6059,1
4681,1
5849,0
17931,1
3662,1
14920,0
212,1
1103,2
1813,0
4150,0
3913,0
1467,1
17444,1
1236,1
7272,2
3704,1
694,1
9988,2
12312,1
4001,1
8602,1
10777,1
2134,0
3875,1
658,1
7353,1
10635,1
2571,0
7100,2
14598,1
1918,1
16650,1
15405,1
2181,1
5175,1
13199,1
4674,1
334,1
3226,1
13292,1
13103,1
3548,1
2962,1
14514,2
1921,1
1397,2
2322,0
318,1
10036,1
4926,1
3522,0
3381,1
10341,1
8538,1
2139,1
15807,1
11774,1
6025,2
13503,2
4754,1
16542,1
14679,1
9048,2
2720,0
3123,1
9629,0
11676,2
17716,0
15185,1
16019,1
12205,0
8183,0
16877,1
9832,1
7487,0
4194,1
17287,2
3420,1
5329,1
17292,2
4771,2
16996,2
14431,1
14762,1
1286,1
10041,1
2398,1
9456,1
1952,0
1980,1
122,2
11738,0
4351,0
11836,1
82,1
9428,1
17899,1
6599,0
3516,2
6172,1
8403,1
17254,0
8385,1
17555,0
10575,1
4175,1
17662,1
501,1
315,1
30,1
740,1
892,1
15231,1
12352,1
840,1
6518,0
15841,1
16089,0
5227,1
4401,0
701,2
831,0
4860,1
4411,1
4076,1
1294,1
8164,1
15442,1
4466,1
11511,1
13686,0
13961,1
2588,0
8621,1
8246,1
1282,1
17863,2
4570,2
16071,0
17622,1
4544,1
1065,1
6603,1
3020,1
10375,1
17711,1
5081,0
3338,1
11877,1
12154,0
11172,1
1820,0
5904,0
8197,1
5413,0
3944,1
17954,1
6686,1
4611,0
10489,2
6294,1
14945,0
13184,1
180,2
8148,1
12197,1
6747,0
4310,0
13627,2
9991,1
14067,1
6500,1
15346,0
8965,1
1133,1
12360,1
6884,1
8830,2
4543,1
13730,1
10581,1
16838,2
949,1
437,1
16849,1
5372,1
4352,0
15108,1
3836,0
16675,1
172,1
4070,1
1794,1
14728,1
12185,1
1176,0
4956,1
652,1
2982,1
6953,1
17797,1
1949,2
13256,1
615,1
3252,1
15265,1
17728,1
4535,1
10304,0
145,1
7388,1
2245,1
15591,2
8004,0
8323,1
12179,0
336,1
3001,0
1368,1
4927,1
10155,1
2989,0
5726,1
11004,1
2644,1
9335,1
8379,1
1518,1
6761,1
4856,0
15445,1
5062,1
628,1
4913,1
5859,0
13313,1
17502,1
6943,2
12708,1
7670,0
6674,2
4552,1
4447,0
588,1
11658,1
3472,1
12973,1
1684,1
3257,0
11501,2
6836,1
16085,1
4969,1
2831,0
7448,1
4370,2
12695,2
16858,1
1367,1
1116,1
4398,1
4275,2
2845,1
8040,0
11427,1
12813,2
16167,1
12385,1
5232,1
10446,1
49,0
14961,0
5056,0
132,1
8969,2
9888,0
1477,1
1778,1
4087,1
1010,0
3803,0
833,2
3524,0
4816,1
6467,1
7544,0
4014,1
2294,1
15936,2
6575,1
12333,0
17135,1
617,1
2526,2
4707,2
1367,1
4133,0
7389,0
4930,1
17460,0
4905,1
1206,1
5929,0
4090,1
381,1
106,1
1857,1
6600,1
3197,1
9333,1
10171,1
6312,2
10642,2
15377,1
11778,1
6812,1
10981,1
3835,1
17909,0
13415,1
6694,1
10660,1
358,1
17560,1
16438,1
1996,0
17561,1
3018,1
10640,2
4275,1
12413,1
2750,1
14093,1
887,1
14481,1
15121,1
128,1
3648,0
526,1
13331,0
467,1
12566,1
12752,0
3578,2
12461,1
3497,2
977,2
698,1
1886,0
15749,1
10654,0
116,0
1484,1
553,1
17588,0
5799,1
1202,2
13225,1
3412,1
3121,1
1551,1
4007,0
6910,1
266,1
1411,1
15593,1
12421,1
3596,1
10232,1
15189,1
15,1
1739,1
4863,0
907,2
3879,2
1355,1
2076,1
10616,1
3803,1
4961,0
1160,0
10568,1
520,1
9697,0
14602,0
3617,0
2251,1
6566,1
4781,0
3767,0
8622,1
5189,1
391,1
1540,1
117,0
5125,1
12295,1
2604,0
4514,1
578,1
4404,1
3219,1
4615,1
399,2
698,2
15461,1
2946,1
16507,0
15681,1
916,1
15396,1
10081,2
8452,2
863,1
1849,1
3857,1
4659,1
13884,1
12577,2
2352,0
5781,0
719,1
7069,2
743,2
12719,0
1145,0
570,1
4565,1
773,1
14314,2
1388,0
1627,1
902,1
15324,2
1321,1
15579,0
4379,0
11065,1
1041,1
14986,1
16508,2
14791,2
3822,1
2473,2
11739,1
13744,1
14048,2
220,1
4395,2
312,0
4177,1
12096,1
15540,2
150,2
15641,2
10679,1
538,1
124,0
3977,1
2162,1
7992,0
12121,2
4271,2
18046,1
10061,1
12203,1
11980,2
3387,1
8699,1
7017,0
10048,1
17133,1
15509,1
12956,1
16134,2
1864,1
11086,1
2568,1
14378,2
3891,1
3289,1
16796,1
1268,1
4360,1
15317,1
5883,1
13721,1
1443,1
4333,1
9642,1
11419,1
2466,1
2858,1
16214,1
4414,2
7521,1
1335,1
2234,1
4560,1
15607,1
15474,2
11787,1
88,1
95,1
552,1
11860,0
13894,1
15904,0
7979,1
3545,1
4889,2
17333,0
14102,1
17381,1
1802,1
4304,1
9319,2
14953,1
18042,1
6326,1
14572,1
16820,2
4246,1
13094,0
1219,0
1504,1
17389,1
2561,2
9914,0
15089,0
68,0
1274,0
2835,0
14066,1
4732,1
15057,2
54,1
126,1
8044,1
12346,2
13838,0
14855,1
16481,1
839,0
4287,1
13511,1
17683,2
11178,1
5270,2
4787,1
4660,0
16742,2
2966,1
6568,1
13875,1
4671,2
1308,0
8671,1
2371,1
5293,0
5409,2
1556,2
88,1
6877,0
4844,1
9676,0
16203,1
13488,2
10768,1
16429,0
7663,2
14360,2
16902,1
4561,0
5988,2
1750,1
4204,1
4721,0
4692,0
7691,1
4424,2
870,1
3551,0
3128,1
4696,1
10055,1
9985,1
3850,0
15117,1
16743,2
7644,1
4583,1
1125,1
11012,0
660,1
899,1
4300,1
15271,1
4893,0
4263,1
1048,0
14473,1
12982,0
494,2
2143,1
11039,0
112,1
1488,1
2302,0
6221,0
8170,1
12370,2
6835,1
12292,1
416,2
6961,0
5739,1
12984,1
2664,1
9447,1
3057,2
6168,1
9829,1
3362,0
15116,1
7529,2
2301,1
17672,1
3576,0
9593,2
1415,1
15369,1
13496,1
13010,1
15890,2
9160,0
18015,0
6472,1
831,1
10680,1
11741,1
1614,1
1809,1
4028,1
7039,1
15095,1
7818,1
12023,2
16422,1
18058,1
267,2
15693,1
10012,0
9783,1
17681,1
15821,1
15571,0
7219,1
1475,1
4121,0
9847,1
17530,2
2509,1
9723,1
11873,0
3154,0
7020,0
3309,2
134,1
13759,1
6624,1
4493,1
1378,1
3547,0
1080,1
710,1
9748,1
5583,1
9576,2
4858,1
10879,0
824,1
17095,1
14988,0
5147,1
404,1
4637,0
14907,1
10948,1
14540,0
17336,1
3209,0
1229,1
9951,0
7489,0
8601,0
11779,0
2391,2
550,1
4173,1
4575,1
663,1
856,1
16949,2
4660,1
10577,2
14137,1
6443,1
16157,2
17811,0
10862,1
14528,0
3029,0
5320,2
4498,2
3776,1
7697,1
7741,1
4143,1
13495,1
9925,0
17566,1
6253,1
10574,2
15368,1
3227,0
5452,1
4518,0
9150,1
4284,1
4661,1
14272,0
7849,1
4916,1
5100,2
599,1
2327,0
6662,1
11565,0
4691,2
17751,1
1213,1
8348,1
4594,1
422,1
13281,2
791,1
8377,1
4371,1
8568,1
2763,1
12662,2
4716,1
2103,1
16906,1
3782,0
2495,1
3762,1
6771,1
10475,1
4872,1
12112,2
3339,0
4645,1
4709,1
17674,1
1982,0
2608,1
3245,1
7436,1
4656,1
12549,1
3026,1
1931,2
6806,1
16903,0
16819,1
11823,1
12788,1
4953,1
1196,0
1603,1
1069,1
3137,0
454,2
13761,1
1692,2
8968,0
2151,0
14763,1
2140,1
10226,2
4441,1
6542,1
967,1
5696,0
12775,1
15209,0
12647,0
8444,0
3299,1
8583,0
1698,2
13912,1
12827,1
11007,0
5434,1
768,1
16070,1
1932,1
4808,0
4792,1
4198,2
10535,1
17070,1
1399,0
1570,2
6814,1
1285,0
2327,0
1585,2
17127,2
16872,1
15352,1
5234,1
1198,1
6094,1
9494,1
14534,0
2685,1
9953,0
2863,1
6170,1
15954,1
1129,1
4251,0
10103,2
4377,1
5708,0
8384,0
6937,1
2623,0
7648,1
7346,2
4233,1
161,1
1041,1
12584,2
10932,1
650,1
4610,2
16657,1
2096,1
14608,0
16322,0
4225,1
6791,1
8680,1
14706,1
17702,1
141,0
4630,2
6725,1
3315,1
3941,1
3697,0
5873,1
9546,1
8552,2
5349,0
