,text
713,&# ; I'm about too put sooooo much nut in my fucking mouth and gts frfr &# ;&# ;&# ;&# ;&# ; bitch yu nasty
2803,I love Asian bitches
896,Oh. Wow. Avoiding that bitch.
14241,Omg. Its okay girls!!! Don't stop cooking!! #killerblondes #mkr #goodnight everybody!!! Ill be here all year xx M A D A M
4018,These bitches love soda
16199,You a pussy dawg 
17212,Fuck off Kat #mkr
4247," ISIS is a giant embarrassment to Muslims, not just because of the barbaric things they do. But because ..."
18028," But the population in Palestine is still blowing up. No, Muslim abuse is the worst."
1787,"Damn, birds stay shitting on my car.."
6233,"Thank you Charlie, Happy Thursday "
9449,RT! COMMENCE CARPET BOMBING! All #Iraq soldiers in this video executed by Jihadis from #Tunis 
11156,Sheehey back door cuts still go un guarded! #IU #HoosierHoops #hoosiers
7361," Yes, the Muslims murdered million Indians."
1092,BAHAHAHA! OMG.. Kat has no idea.... NONE!!! #MKR
16627,"Well done Ash &amp; Camilla, now try some humility instead of being front bums #mkr"
1499, Am not down with gay shit u better ask my bitch
3386,I been in this hospital since I'm just tryna stay awake for more hrs then I can sip this D'usse and party with the rest of the coons
11105,&# ; not one single bone in my body gives a fuck about what the next bitch thinks. &# ;&# ;&# ;
2935," The definitions of ""models"" and ""butchers"" are really loose nowadays #MKR"
10467,RT For Halloween most or you girls should just go without makeup.
16879,"Shy glizzy sound dumb as shit, you know nothing bout medellin"
6199,I'm so high high high that a bitch can't blow my high
1823,You some type of special faggot if you bring chocolate Swishers to a smoke session.
6604," No, I'll put you there, because being nothing contributes more to mankind than Muslims."
12760,&# ; Is it wrong if I get on this bitch and started talking shit &# ;?&# ;yes!
3766," Oh Katie and Nikki, just because you're both (bottle) blondes that doesn't automatically make you pretty. #MKR #MKR "
1975, you got old bitches upgrade them
6395,Leg day made me it's bitch.
16317, idk ? I went to to the school like a week ago and the bitch gave me a paper and shit telling me my classes paid for and
4697, we should change that to bitch about everything. For example my girlfriend don't like the crew I hang with she BAE
10352, Nigga wanna bitch about a party y'all know my address knock at my door
15251, ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp
4346,Im never cuffin unless my bitch grown or act grown. I can't deal wit lil girls nbs
5590, ok hoe
10300,You know what im into nigga .. Money &amp; expensive bitches
5395,&# ;Como se llama el ni&# ;o m&# ;s delgado de Jap&# ;n? Yocomo Poko &# ;&# ;&# ;&# ; gino &# ;&# ;&# ;&# ;
14903,Up early on Dat good dope wit my niccas!
8279, Apartheid. &# ; pedestrian check = show me your freedom papers you darkies.&# ;
8276, now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
9640," Brees you need a black hoe, who cheating on her man that work offshore, that would fuck you while the baby in the bed w&# ;"
15548,About all u can expect from a nicca that can barely talk! Lmao dude can't spell worth shit yo lol
4664,She&# ;s The key to world peace. Hippo is such a pussy magnet Gawd
5601, your . And . Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 
1253,Really bitch? No.
3955, RT: Kat is the King Joffrey of #mkr 
739,What now bitch I've got you're girlfriend 
3230,RT I'm not sexist but right now I hate girls !!!!
4806, FSA sold weapons they got from US to the Islamofascists.
6059, side hoes shall only eat side dishes fo ye are what ye eats -traprinthions : 
