,Unnamed: 0,text,class
0,0,RT @TiredOfTyranny: Jihadi Work Accident: Seven Taliban Fighters Including Top Commander Killed When Roadside Bombs Detonate Prematurely&#8230; h&#8230;,2
1,1,"My bitch educated, had her clients pay the payments",1
2,2,"It ain't nothing like chasing money cause you have a purpose, but chasing these hoes for what? 
*Vice Versa*",1
3,3,5sos be like: come hang out with us!! but not if u fugly. oh and side hoes to the left thnx.,1
4,4,RT @wizkhalifa: Currently taking over ur bitches brain with my creativity and wierdness.,1
5,5,I be waking niccas up lol,1
6,6,@kirstynehbu faggot,0
7,7,"""We've proven we're not just dumb blondes and pretty faces."" True, not ""just""... #MKR",0
8,8,I'm getting sleepy and my phone is acting retarded...,2
9,9,@Raqqa_Sl The prophet of Islam made his living robbing caravans.  So of course ISIS will make money stealing if they can.,0
10,10,Cant play No games wit deze niggas or bitches &#128581;&#128299;,1
11,11,what's wrong with bitches fuck nigga,1
12,12,RT @BitchBeEasy_: niggas w bitch tendencies&lt;,1
13,13,"@iowahawkblog @jjauthor to ----&gt;@DavidMasciotra get past boot camp, and go active a few years, see what we REALLY do daily you liberal pussy",0
14,14,"@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.",0
15,15,I can't fuck with girls that talk about their pussy on social media...,1
16,16,RT @daniellecarr01: Where all my @Yankees fans?? #ny #yankees #VictoriaSecret #fitness http://t.co/IBNLKWuUNS,2
17,17,Hey @Yankees fans is this a good score ? #lookingformore http://t.co/HLQAl7cIGf,2
18,18,On a mission to find some zebra cakes,2
19,19,Experience Charlie. Married woman who loves hot phone sex with strangers. Can you get me off? - 27 http://t.co/bpDqqPoGAe,1
20,20,RT @ivanrabago_: @InfamousCoryOG @_WhitePonyJr_ @EakaErick there's only like one retarded fucking beaner that does and he's a stupid ass ex&#8230;,1
21,21,"Your eyebrows on fleek, but ya pussy on stink",1
22,22,RT @Basedmane I'm not sexist but I can't listen to female commentators for men's sports.,0
23,23,"@AlmightyVinny_ @TOnycranshaw22 @RichHomieMeezy ""the hoes be by my house"" , we be at tony spot mf",1
24,24,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1
25,25,Somebody tell these pussy niggas I got em,1
26,26,RT @NoChillPaz: When a bitch says you're broke http://t.co/yFsL9rNK0j,1
27,27,"RT @HoboKarl: While the men will often be rambling and retarded, the women will appear trashy and tipsy, lawless and lustful http://t.co/A5&#8230;",0
28,28,People on this site are fucking retarded sometimes,0
29,29,@Pohlman2 do I look like mike Vick bitch,1
30,30,Theres one dude i can not stand at my school because he stays on the freshman girls and girls from other schools cause none fw him. #bitch,1
31,31,RT @Chip216: As a kid I listened to Nas. He showed me a new perspective coming from the ghetto like me. Same with Pimp C &#128081;&#128081;&#128081;,2
32,32,"RT @butter_obama: I love when @NICKIMINAJ say ""bitch I'm me"" &#128588;",1
33,33,Mfs don't care about tha kid except a few of my niggas &amp; my bitch,1
34,34,Couldn't care less about any bitch &#128079;,1
35,35,I love me some chunky babies &#128525;&#128525;,2
36,36,"RT @DamierGenesis: ""had all the bitches on MySpace going nuts....""",1
37,37,@shaner38 @scarmichael18 I know of NO places single men may in US.  Some states do bar ANY single parents.  Some only men.,0
38,38,Bruh. pt. 2 jaxon1114 killed this hoe too last night while we was sleep. http://t.co/F1Choia21G,1
39,39,Smoke sesh niggah what u mean,1
40,40,RT @Nathaniel_L_K Complaining I haven't cleaned the house! Do I look like a women? Na jk I'm not sexist but common make me soup pls,0
41,41,@jncatron @MaxBlumenthal If you want t plumb the depth of Hamas virulent racism just read the Quran where it is spelled out in black &amp,0
42,42,Fat bitches got the most pictures,1
43,43,"I bet that nigga @gucci1017 got charged for murder for tha intro of ""Gucci vs Guwop"" cause straight killed that hoe! #FreeGucci #FreeRadric",1
44,44,"RT @OddBall__: @MT8_9 @BoycottBrandy @AudioFidget 8% of RN's are males, 43% of CRNA's. There is your nurse ""pay gap"" right there.(Well most…",0
45,45,RT @woohdakidd_74: &#8220;@Shane_A1: I'm steady hearin bout these suppose to be tuff street niccas gettin fuccd n dey ass smh gay boys&#8221;&#128561;&#128561;smh sad &#8230;,1
46,46,RT @CurrenSy_Spitta: Fuckin hoe ass Click it or ticket.....25 dollars n shit,1
47,47,@truaemusic @mattybboi83 @Number10gov But Islam keeps trying to return to the 7th century.,0
48,48,"@RBesofii 
Cants even fool a colored man wit dis bullshit http://t.co/gtln1tpMgi",1
49,49,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, there is even more rape in Muslim countries but it is not reported.",0
50,50,"Wow , that's a stupid bitch &#128514;&#128514;",1
51,51,"RT @thejokerxo: &#128064;&#127939; ""@Weed_Cloudz: Does SZA have freckles on her pussy too?""",1
52,52,"RT @INKdaRapper: I made the mistake of reading that Christine Brennan article. I'm not sexist, but she really makes females journalists loo…",0
53,53,fat bitches fat bitches heeeey,0
54,54,Omg I will just go to Charlie Bear to twerk team I fucks with them,1
55,55,RT @OfficialKingDre: bitch you guessed it https://t.co/DCsu5vQbpl,1
56,56,"RT @Lord__Dexter: ""Depends on their costume @Replacement2: Am not sexist but can women league football ever get the kind of attention the m…",0
57,57,@litigiousmind pretty like a bitch,1
58,58,"In other news, my eyelid is STILL spasming. Putting on mascara today was a bitch. #wtf",1
59,59,"RT @TehDucKii: if my tweets ever offended you:
1.) im sorry
2.) it won't happen again
3.) 1 &amp; 2 are lies
4.) you're a fucking pussy",1
60,60,@ZachIrving I called people kikes and a lot of fucks,1
61,61,RT @Jakelewis44_: &#8220;@UmPoptart: When Mr. Krabs sold Spongebob out for 62 cents thats when I knew hoes ain&#8217;t loyal&#8221;realist shit I've seen&#128548;,1
62,62,RT @_xobrandy: @Blaxxxican invest in some curtains bitch,1
63,63,LMAO what a comeback. &#8220;@somethinzfuckee: @0beyYourMaster @traybonmartin says the twat with the sides of her head shaved like a damn asshole.,1
64,64,Keep it G I never fucked a squirter bitch &#128514;,1
65,65,RT @Broski519: How bitches look wen they hear their song in da club http://t.co/F2OyCfK90s,1
66,66,"I still can't get over some of these retards going ape shit over this iphone 5, makes no sense to me whats so ever.",1
67,67,RT @gioisblack: Goodbye you faggot http://t.co/oJKZjkgVXL,1
68,68,"No. @JuBSmoove: Call me sexist or whatever, but Imma need for female personal trainers to be sexy. #sorrynotsorry",0
69,69,Early bird gets the worm.... #GoGetIt,2
70,70,RT @_IBeKev: Throw me a blunt bitch,1
71,71,"My manager @7FLyy new brand | PRE - ORDER NOW w/
 (404) 394-1570&#160;&#160;--&gt; @sevenflyy ""Red Lust"" &amp; ""Cherry White"" beanies http://t.co/LxjMBCTgJj",2
72,72,"RT @BrosConfessions: ""People congratulate on losing weight for my health, but in reality I lost all the weight so I could fuck hot bitches""&#8230;",1
73,73,@striv5r @abunaseeha2 And if you are over 12 you will have to go and die for Baghdadi next week.,0
74,74,why bitches gotta be bitches,1
75,75,Just hit 40 in flappy bird.&#128527;,2
