,class
13230,1
5827,1
16699,0
17575,1
17028,0
1445,0
2385,1
1787,0
16020,1
14790,0
4812,0
9215,2
12964,1
18443,1
9491,1
18493,1
16475,0
4438,1
3986,1
2783,2
2524,0
5060,0
13461,1
8942,0
14122,2
3434,1
1150,0
13905,0
3878,1
15212,2
10674,1
1254,1
1590,0
15260,1
2365,0
1539,0
5507,1
8046,1
14419,0
7494,2
20081,1
18873,1
1471,0
12966,0
5322,0
16216,1
9146,1
16274,1
5323,1
10021,1
13629,1
14729,1
6769,1
1355,1
7123,1
9435,1
6816,0
3069,1
12370,2
9706,1
11689,1
3467,0
13051,1
10191,1
424,0
16638,1
13894,1
1133,1
985,0
8196,1
4664,0
18506,1
14968,2
4072,2
13012,1
4518,1
9541,1
3084,1
16177,1
2699,0
15610,1
14150,1
18783,1
18264,2
15585,0
19602,2
13050,1
11468,1
18352,1
6427,1
5715,1
5181,1
17066,0
11915,1
13621,1
8827,1
15181,1
3792,1
16342,2
11148,1
17709,1
12349,1
19376,1
8995,1
11946,1
6061,1
17984,0
6170,1
2166,1
8581,2
4957,1
4249,0
17469,1
16674,0
19012,1
11728,0
2127,0
2784,0
13843,2
18075,0
11144,1
4909,1
18725,0
19164,1
761,1
6567,1
19859,1
5072,1
15460,1
661,1
2336,1
6950,0
785,1
16815,2
11101,1
3549,1
1122,0
2471,0
17191,2
15980,1
20065,2
17053,1
947,1
4755,1
17507,1
18534,1
6059,1
3621,0
4721,1
11720,1
5645,1
3050,1
18497,1
13176,1
7869,2
12505,0
10328,2
3403,1
2769,1
10594,1
16490,1
14245,2
3196,1
18250,0
1445,2
5094,1
1282,1
16686,1
255,1
1147,0
8434,1
8381,1
3940,1
4638,1
5151,1
1345,1
13972,0
6855,1
4118,1
10229,1
8993,1
6150,0
12803,1
13239,1
3273,1
10019,0
11794,1
9406,2
5562,0
2739,1
8134,2
4548,1
11994,1
15780,2
3424,1
15486,1
3697,1
8123,0
680,1
3017,1
3818,1
15583,0
9397,1
10872,1
9098,1
2162,1
19773,2
11617,1
19709,1
1737,1
2022,0
1809,0
7686,0
9339,1
2110,1
2229,0
14365,1
5369,0
880,1
153,1
17635,2
2686,0
2549,0
10200,2
9832,1
18333,0
15670,1
403,0
4306,2
18198,0
17165,1
1337,0
17420,1
3379,0
15589,2
8290,1
294,1
200,1
11637,1
16809,0
1415,0
929,1
16229,2
18263,0
2512,1
13864,0
5671,0
1259,0
16132,1
6594,1
7864,0
15809,1
14528,0
17562,1
8785,1
16016,1
12623,1
4937,1
3232,0
364,1
2264,1
14714,1
2184,0
17119,1
9749,0
9723,1
19679,1
1067,1
19236,0
30,1
6736,1
18201,2
2155,1
3812,1
9125,1
14191,1
1482,1
14871,1
13249,1
1489,1
16782,1
2840,1
12303,0
9396,1
9616,0
3414,1
2644,2
10803,0
11074,2
2400,1
6115,0
14748,1
14219,0
2556,1
3283,1
553,1
4261,2
3057,1
14349,1
10316,1
9487,1
354,0
13486,1
17188,1
17460,0
7007,1
15220,1
18154,2
15113,0
19203,1
18533,1
3240,1
3730,0
146,2
1451,1
225,1
14776,2
20159,0
10929,1
2352,1
2431,0
668,0
4563,1
14600,1
399,1
19087,0
19656,1
18037,2
1167,0
3243,1
15682,1
2879,2
5905,1
4224,1
12894,0
10055,1
10376,0
15167,1
17795,1
12299,0
9205,1
13327,1
9735,1
13096,1
16157,2
5591,1
11715,0
19468,1
4481,0
7306,1
7692,0
1100,1
1733,2
14724,1
15937,1
19527,1
6488,1
17699,2
958,0
3786,1
1130,0
2136,1
489,0
8441,1
14828,1
96,0
1144,1
1394,1
4583,1
17362,1
12110,1
3499,0
81,0
14118,2
3271,2
16150,1
12421,1
10033,1
19517,1
7676,2
8188,1
13059,1
17799,1
12230,2
17731,0
17065,1
16283,1
18160,0
18022,1
15334,1
702,1
1183,1
7119,1
7484,1
14187,1
5110,0
2670,1
13895,1
1277,1
817,1
2193,0
10786,1
170,2
2928,0
20141,1
1536,1
3711,1
16509,1
268,1
14474,0
953,1
3097,2
10873,1
3439,1
14484,1
7996,1
19740,1
654,0
6353,2
1562,1
17496,0
3107,0
11397,2
12346,2
16898,0
13691,1
9463,1
2538,1
6083,1
3596,2
11645,0
16055,1
54,1
2836,2
1036,1
7621,1
6393,0
4131,1
13786,0
107,1
2101,2
2382,1
10177,0
13065,0
1169,2
16202,2
158,2
20134,1
7995,1
740,1
18455,1
19904,1
10429,1
19345,1
19508,1
5952,1
7245,1
17978,2
12653,1
12263,1
2506,1
6565,1
8258,2
655,1
2942,1
4265,0
9904,0
14967,1
16534,0
13312,0
8914,1
9993,1
19025,0
287,1
10798,1
14220,1
1427,0
2643,1
19714,1
19533,0
5090,1
5544,1
3288,1
9657,0
2500,1
251,1
2532,1
19244,2
11162,1
