,text
13230," real ""lil""...bitch you short as fuck"
5827, cuz you know i was playing witchu i aint call yo mama a bitch or say yo brother ugly af did i?
16699, Happy birthday faggot! &# ; 
17575, Sometimes I listen &amp; revisit them old albums often as I can &amp; skim through all them bitches to make sure I keep up with &# ;
17028, Taqiyya is used by all Muslims. Mohammed was a liar who often lied for Islam.
1445, At least I don't follow pedophile prophets or believe in mythical creatures of fire called Jinn.
2385,"All these hoes trife I can never cuff , I've been hurt before so I can never give a fuck"
1787, You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!
16020,Fuuuuuck you you stupid fucking cunt
14790,"RT I'm not sexist, but let's face it, girls can't drive."
4812, I know about Judaism. I don't recommend it. But most Jews are secular.
9215,Can we bomb the selfie-monkey out of my timeline?
12964,Get your nasty ass out of my snapchat bitch
18443,RT FELLAS TAKE NOTE Eating pussy keeps your lips soft. (;
9491, I let these bitches talk. that's just free promotion &# ;.
18493," ""Just texted my phone, this bitch just blew my high!"""
16475, Mohammed had a child bride. ISIS marries off children.
4438, Hoes ain't shit How superficial bitches are 
3986, I'm trying to catch diabetes so I'm fuckin a white bitch
2783, either way both schools are trash &# ;
2524,"fuck ray rice ,someone crack that bitch"
5060," Stupid comment. That was illegal for US soldiers and they were punnished. For Muslims, their organizations make murderers heroes."
13461, Damn hoes askin niggas do I smoke.... No bitch u not getting smoked out tonight
8942, Can't forget it...never heard about it...
14122,if i were to die and be resurrected as an animal id be a howler monkey
3434,Heres a thought you dont have a valentine bc your a mean ugly bitch haha
1150,Kat and Andre better fuck off this show quickly. Awful people #mkr
13905, Oh really? fags are gross You aids infected sick fuckers
3878, Its unexplainable how booty and fucking ass these bitches be. They live to be funny.
15212," online soon? I didn't have enough to get it after my Anathema merch. It's a cracker, I need it. Can u....."
10674,So jus don't be faithful cus u never kno what your bitch doing lmao
1254,I love all my bitches. And Im ridin for all my bitches no matter what.
1590,"Boyfriend just said , have a look on the thighs on that , she could play fullback #Nikki #mkr "
15260, Eff dem hos.
2365, Hit a bitch it's not like you can see the bruises
1539, ..... % of Afghan civilians are killed by Taliban. So it is a service to mankind to bomb the Taliban.
5507, fuck Olive that bitch
8046,You ask me about ? I'mma make dat bitch my bitch!!
14419,jus gonna say it...again....DUMB BITCH! #MKR
7494,The Perfect Gift for the Jihadi on Your Shopping List 
20081,Every one of then would just be adding me to their collections of hoes
18873,I wanna be someone's bitch ass boyfriend right now . But that just me head playin games on ya boi
1471,"Hey Kat, ""gloat"" is not a pretty colour to wear, love. Makes you look bitchy. Oh that's your normal face? My mistake. #mkr"
12966,"&# ; shut the fuck up, you fucking trash nigga, work on another ring&# ; "
5322,Punk ass broke faggots.
16216,Mom really came in and found anything possible to bitch about
9146, bitch I'll fuck you up
16274,N then the hoe sooooo ugly like bitch you ugly dog like dumb stupid ass ugly like &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;
5323,"I try to pass him up, get in carpool passing him he's just looking at me like I'm playing a game do I waved hi idgaf don't fuck w/ me bitch"
10021,"If I was stranded on a desert island and I could only bring thing, I would bring Dora. That hoe has everything in that backpack."
13629, meth brownies
14729,&# ; hoes do hoe thangs&# ; 
6769,You just her friend im the niggah she wanna fuck wit
1355, niggah you dont know me! Lol you dont know my life aha
7123,"But if you knew , bitch you'll do better &# ;"
9435, if you want a hoe go on urban chat. That's where all the hoes are. And Mia can get punched in the boob.
6816, The fact is that Mohammed was every bit as vile and sick as ISIS. He is their model.
3069,These hoes be thirsty for attention
12370,Then Zerah the Cushite came against them with an army of one million men and chariots. They came as far as Mare&# ; 
9706, Random hoe: So I heard.. Me: 
11689, .... this is what all of my bitches say hahaha 
3467,"Men ""have a discussion."" Women ""argue."""
13051," I be like wassup bitch?! &# ;\( &# ;o&# ;)/&# ; ) ) | \ | |_ ""huh? nothing"" that's what I thought hoe. (&# ;o&# ; ) &lt;) &# ;"
10191,mother fuxker the devil is ah lie bitch I'm the truth
424, because she's a nigger
16638, You gotta be a really weak bitch to let somebody's tweets offend you ...especially if you never met the person
13894,I swear females think they know me.... bitch you don't know my intentions you just think you do
1133,"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista"
985," The idea about all of these ""moderate"" Muslims is oversold. Most are extremists. "
8196,Pappadeaux bread with the scampi butter RT Her pussy tastes like? 
4664," FTR, I don't just mean Democrat by ""liberal"" but a specific breed..."
18506,You a pussy hoe until you give me pussy hoe
14968,I was in love with Charlie &# ;
4072, I think it is flat out wrong to blame Brian Cashman for the Yankees. 
13012,dear spoiled suburban bitch...
4518,"Humble personality, not a hoe. . Best non-physical feature the opposite sex can have?"
9541,""" Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
3084, Stay safe and remember if u a girl and u on ur period don't go to a party and&# ;..bitch jus stay home u gross as shit
16177,After the leg workout I was put through today walking up the stairs is a straight up bitch! #ouch
2699," Today the Hamas terrorists still call ""Khybar Khybar"" to the Jews when fighting them."
15610, bitch I'll end your fucking life. You a fuckboy
14150, Bradshaw ain't no hoe
18783,Pull up on my x make that bitch mad
18264, Amen on this tweet. mm rockets from Victor Charlie leave a lasting impression.
15585, I determined you aren't worth such an effort. Deal.
19602, ...Because sometimes you just need a moment to appreciate a noble guinea pig with steampunk dragon wings. 
13050,FUCKING WALK OFF IN THE BRONX!!! 
11468, You hoes ain't got no manners.
18352, Serving size is Latin for you&# ;re a little bitch
6427, Coming soon on a bitch nigga!!!!! #MONSTERtape . 
5715,"Technology ain't doin nothing, but making these hoes look better"
5181,Cute teen gets her pussy flooded with&# ;cum 
17066," I know that they force the same sexism, hatred and bigotry on their population that all Islamolunatics do."
11915,This hoe loud...
13621, lmsoooo dawg I ain't got no bitches mane. I low key got a chick but I can't say it on Twitter. You know how these wolves is
8827,Smoking Brooklyn got me high as giraffe pussy
15181,The TL talkin about eatin pussy and u watchin soccer? Ur a grade A faggot This game is crazy !!!
3792,""" Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
16342,"What an amazing, proud day it was today for and #blockheads! Time for bed! Good knight!"
11148,Shirley Temple was a bad bitch when she was my age as well.
17709, Fucking retarded question... 
12349,I'd kill a bitch to be able to cuddle right now. Ugh. Sucker for the stupid shit. I swear.
19376, I want to leave but he said he was going to eat my pussy - now I'm afraid to go and leave my cat alone with him
8995, is lupe fiascos retarded illegitimate son
11946, You're a cunt. Screen shot that
6061,That bitch can't touch me
17984," Shutup if I was sexist I wouldn't be a faggot about it, my mums a girl for fuck sake"
6170,"&# ; Never worried about the next bitch. Always worryin about the next meal. I'm tryna fuckin eat, fuck what you talkin bout&# ; &# ;&# ;&# ;"
2166,Jealousy will make a bitch do ANYTHING. Thirst will make a nigga do ANYTHING.
8581, Remember Dad running a rotary hoe over corn after a freeze to knock the dead leaves off after they turn brown
4957, LOL dude.. I wish they hadn't. I got a DD that would make a pussy like you cry for the enemy.
4249," The Muslims killed millions when they entered Europe and India. But the question is, can we get beyond barbaric religion."
17469, cause hes a faggot
16674,". Real world evidence of this, please."
19012,&# ; noll nigga I'm Talm bout Tt and juice &# ;&# ;&# ; me too! Ion hoe Em
11728, #QuestionsForMen did you know that when you look at a girl - you rape her? 
2127,"Since the feminists at #sorryitsaboy &amp; #everydaysexism NOW just LOVE ""jokes"" I thought they'd like this one...right? "
2784," You are a total liar, just like your pedophile prophet. UN soldiers don't burn people alive."
13843,"I like to mock Apple, but I'm legitimately interested to see what their wearable looks like."
18075, Stop being a feminazi because you struggle at attracting the other sex. Stop starting dr...
11144,"If my bf posts a pic of my daughter, just like it and keep scrolling. Your comments aren't necessary. Yes bitch, I know she's cute."
4909,Political ass bitches
18725,"How the f#*k are they ""models""? #MKR"
19164,Payback is a bitch
761,"all these Ciara songs are old to me bitches , they from like weeks ago lml, #basicbitches"
6567,"""I call him my bitch"" "
19859,"Been told by a lot of people that I'm cool then a hoe, and that they don't understand why someone wouldn't like me"
5072," I'm mature enough to eat pussy when it's time too, eating ass is just disrespect."
15460," &# ;&# ;&# ;RT Bitches are only ""moral"" when it comes to sex... when it's convenient for them. Otherwise they hoe th&# ;"
661,"Messy ass hoes , ain't your fucking friend !"
2336,"they blame it on the alchohol but claim the truth come out when they drunk..they defend the hoe being a hoe, you backward ass mofos"
6950, And you lie again. The majority of Muslims were forced into it. 
785, bye bitch
16815, where my favorite jiggers at? ? &# ;&# ;&# ; 
11101, Ugliest bitches I've ever seen &# ; 
3549,Me: put a twist tie on the bags of ice or you'll get it all over your car Kiersten: NAHH bitch it'll be all cool.... 
1122, In fact the pedophile prophet clearly stated his intention in Hadiths. 
2471,"LoL - sausage, cock and end it with a tart! - best suited theme for these two #MKR"
17191," Hey Arlington Democrats! For you early birds, join us tomorrow. It's the Second Saturday of April. "
15980,Dumb ass bitch i swear
20065, the giants are trash...their time is over.
17053,&# ; every bitch tell me I act like a nigga.. whatever the fuck that means&# ;
947," #rapeyass Uh..not rape her, bitch nigga? You see her passed out drunk, what do you do? ht&# ;"
4755,This bitch couldn't pull a ugly desperate dike if she wanted
17507, When you thinking about killing a bitch 
18534,my side bitch is my main bitch cuz my main bitch aint feelin me nomo...nomo
6059, side hoes shall only eat side dishes fo ye are what ye eats -traprinthions : 
3621," No problem, she deflected anyway..."
4721,The weeknd is why bitches love dark skin fellas now.
11720, &# ; yeah bitches 
5645, #FlipTheSenate on the most corrupt administration EVER! #ChicagoPolitics in the WH &amp; Harry Reid is his bitch. 
3050,Oh I'm nasty for smoking cigarettes? And you're nasty for not washing behind your ears everyday stupid little bitch
18497, Has transformed to a bad bitch. She can get the D
13176,"Ppl really can't handle a girl that's not a ""yes girl"" and says how she feel .. come off as a bitch"
7869," you up, Charlie Brown?"
12505, Call me sexist but I can't stand playing golf behind females especially middle aged to elderly ones. SMH SPEED UP OR G...
10328,Good evening Charlie and friends 
3403,This chick looks like she straight up took a colored pencil to her eyebrows #thatshitdoesntlookgood
2769,"#IfThePurgeWasReal I'd be the best prostitute and madam EVER. Hey, if you got pussy, you shouldn't be broke, right? LMAO JK"
10594, it's twitter.. That's what folks do.. Same folks be mad when someone calls them a nigger on here..
16490, ya bitch crib
14245,cheeky lol I want those all black and yellow 's again... ughh I &# ; those
3196,when yo song come on and you hit the blunt hard af cause that hoe go dat hard
18250,"You know we're % of the population, right? I'm not sexist but I do feel there are too many women on ESPN #notthesame"
1445," In their primes, MJ would have dominated LBJ in on . Just so much mentally tougher. MJ's trash talk alone would unn&# ;"
5094,"&# ; yall niggas think i just hang around your crib doing nothing, bitch i be getting bread too &# ;"
1282, Niggas loose they down bitch for a bitch who down to snitch &# ;&# ;
16686,One day you niggas gone learn when not to fuck an ugly bitch. Because these pregnancies need to be stopped
255,Nigga retweets the most trash shit
1147, The English &amp
8434, boy I was clean in them bitches.
8381," That pup was like, this bitch is AWESOME! Can I go home with YOU?"
3940," if you ate my pussy, don't ever try to disrespect me . Fck nigga i fed you &# ;"
4638,"brb, skipping out of a b-ball game with Obama to whoop hoe ass."
5151, Gabby why are you so ghetto?
1345,&# ; &# ; Y'all bitches be popping babies out like it's a sport&# ;&# ;stop &# ;&# ;what lol
13972, we are in America. It's american women that complain of such.
6855, If you fucked in car before you gotta know you a hoe &# ;
4118, #projectdrugs&amp;bitches
10229,Them taz angel hoes need some furniture
8993,Never tell a bitch what u up to..
6150,"If you have to ask, you'll never know. Bruh I'm not sexist but is the WNBA that entertaining??"
12803,===&gt; All good pussy comes with a price tag
13239,*Sings* I killed that pussy she died with her eyes open!
3273, Like damn. Sorry I'm not a girl that hoes around and has sex with billion guys.
10019, Shows how stupid you've become. Only Muslim terrorists actually attack talks.
11794,""" black bottle &amp; a bad bitch """
9406," tegenwoordig weet je ook al niet wat voor vlees je eet,voor je t weet is t zebra of een aap"
5562, And yet our number and quality of schools are luxurious compared to Pakistan where % don't even have working toilets.
2739, lol now all ya need is sum beacg bod abs pussy boy
8134," Plenty of Kobe vs. Dwight trash talk after the game, too. "
4548,"I would call you a bitch, but that's frowned upon."
11994,"She's aint being a bitch, she's just tired of your bullshit. Her attitude towards you is based upon how you treat her."
15780, Great story of what it's REALLY like to be a camel jockey at the Camel Races in #Tra&# ;
