,text
178,Cost $ &# ; I ain't buying no pussy I got too many followers for that&# ; u in Vegas. Dont miss opportunities
2032,I really hope you and Cameron don't get back together you can do so much better than that ... &# ; dont call her a hoe 
3852,God my tweets are so ghetto
18451, Islam is an entire religion built on intolerance and jihad. It's time for the world to stop tolerating it.
773,After weeks straight of that nigga being you MCM we get it bitch y'all fucking &# ;&# ;&# ;&# ;
936,Ain't been on this hoe all day haha #FWM
2182,&# ; pussy prolly taste like heaven &# ;&# ; &# ;
15376, Not sexist but something ain't right when women calling a football game lol
2661,I just wanna cuddle with my boyfriend under a fuzzy blanket &amp; drink hot tea and have my hair played with so I can go to bed.
15277,When you colored every day is Sunday
5133, bitch get punched tf out lol
12956,Where's all my bitches....where did they goooo?
268," I dozed off and missed #mkr let me guess, Kat was a see you next Tuesday? "
15340, when a bitch twerking on you in the club and you peep the change in her pocket 
16196,This bitch think I want her I'm in love wit da gwap. &# ;&# ;&# ;&# ; 
3836, &# ; you can be skinny and still be ugly stop acting like being thin is beautiful dumb bitch .&# ; &# ;&# ;
2146, In which I refresh dhimmi Seattle mayor Ed Murray's poor memory of city's long history as a jihadi breeding ground==&gt; h&# ;
16083,"It doesn't just affect kids. It affects the faculty, the staff, that work at these schools that are queer."
17276, No one will cut my head off or sell me into slavery. The only thing that will happen is the IRS will take some of my property
4583,But this emotional shit is absolutely for the birds.....
1744, I figured I was just shocked out hoe old that tweet was lol
3523," rts I'll go down there and say ""fuck er right in the pussy"" &# ;&# ;&# ;&# ;&# ; "
16170, Why would I be in a relationship theses hoes go still do them &# ;&# ;
8, You a hoe if you leaving a man's house right now with a costume on
3235,the bitch loudly cheering for the netherlands at rosa mexicano does not seem to value her life
4818," No, the murdering Hamaz head choppers torture children in dungeons."
15822,top layer trash.
3634, Maybe you should encourage more Jewish girls to marry black men to show how you are open minded.
13412,Khloee's new backpack that we colored last night! &# ; 
3484, lol nigga them look like a combo of trash in your house &amp; trash at the dump
14249,All my so whitey bois gone ride
1188,I guess I just come off as a bitch to people &# ;
16272, *Girls* Hey beautiful!! (Friendship lasts months) *Bros* Sup pussy? (Friendship lasts forever)
27," While the men will often be rambling and retarded, the women will appear trashy and tipsy, lawless and lustful "
14177,(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.
3491,Got this bad Spanish bitch &# ;&# ;&# ;&# ;&# ; .
2564, already know juss ordered some of this for the weekend for tha white hoes 
15068,Your pussy hella tight. Took me an hour to slide in that mothafucka &# ; &# ; Quote and I'll compliment you&# ;&# ;
15478," The jihadists fight for the interest of the Caliph and the pedophile prophet, not for the interest of the people."
4934, Islam is about as perfect as Nazism.
5809,*waits for Fanduel to hit me with the jig*
