,class
178,1
2032,1
3852,1
18451,0
773,1
936,1
2182,1
15376,0
2661,2
15277,2
5133,1
12956,1
268,0
15340,1
16196,1
3836,1
2146,2
16083,1
17276,0
4583,1
1744,1
3523,1
16170,1
8,1
3235,1
4818,0
15822,2
3634,0
13412,2
3484,1
14249,2
1188,1
16272,1
27,0
14177,2
3491,1
2564,1
15068,1
15478,0
4934,0
5809,2
1213,1
13940,1
5176,1
1697,2
14957,1
296,1
212,1
4828,1
3534,1
15367,1
1251,1
4853,1
4455,1
18756,0
3892,0
1854,1
4184,1
2235,1
19799,0
16778,1
18052,1
4486,1
3824,1
15379,1
16932,1
1129,1
5353,1
4781,0
921,1
789,1
2863,1
2505,1
2006,1
6016,1
14127,0
19811,2
2059,0
2967,1
1174,0
4562,1
14756,1
33,1
2313,1
14192,1
1189,1
16251,0
2026,0
2987,0
18259,1
16845,0
16458,1
4817,1
17692,1
4821,2
12698,1
798,2
1820,0
12453,1
2280,1
1935,0
12715,0
456,1
14534,0
15233,1
3989,1
3233,1
3935,1
16878,0
4248,1
4560,1
16899,1
4906,1
1207,1
3025,1
13500,1
16073,1
680,1
5134,2
2480,0
18508,1
3856,1
19264,1
2142,0
537,2
12743,1
12100,1
17,0
1226,1
4732,1
1673,1
3,1
2686,0
233,1
902,1
1755,1
1050,1
1865,1
895,1
14266,1
3844,0
3620,2
15723,0
516,2
18428,0
12800,1
4098,1
1917,2
5049,0
19661,1
1673,1
2339,0
2410,1
2841,1
2247,0
4612,0
16728,2
17550,1
19127,1
5185,0
5777,1
5220,1
13508,1
20140,1
2739,2
3550,1
4497,1
2257,1
4863,1
12521,1
1517,1
1719,1
15979,1
5743,0
1357,0
616,1
4238,0
1118,0
19156,1
19912,1
1556,1
16505,1
4683,0
4951,2
739,1
14560,1
1189,1
16127,1
4702,1
2025,1
3441,1
1795,1
250,1
2267,1
18029,1
2800,1
55,1
3313,1
2906,1
126,1
16147,0
4170,1
1961,1
19500,2
2917,1
13556,1
16997,0
725,0
1246,0
18943,1
844,1
19531,1
12640,0
18125,1
15116,1
3572,1
