,class
7370,1
9495,1
4762,1
4885,1
6307,1
2973,1
6729,1
3044,1
3927,2
1662,1
6064,1
7632,1
1713,2
3426,1
2128,1
6243,1
3470,1
529,2
7658,2
16052,1
447,2
2722,1
2263,1
8005,1
2245,0
15148,1
3231,1
176,1
2398,1
2843,0
3363,1
3164,1
16420,1
8810,1
15645,1
805,0
8915,2
16114,1
16110,1
4305,1
4952,2
1599,1
4276,1
6934,1
1936,1
6515,1
1407,1
6214,1
732,1
3694,1
15200,1
6680,1
2860,2
314,1
1806,1
4974,1
2549,1
7949,1
2587,1
1099,1
39,1
8754,1
2910,1
2197,1
3283,1
4078,0
2836,2
8083,1
1729,1
66,1
1490,1
136,1
9558,1
417,1
16234,1
4864,0
1218,1
1482,1
2887,1
6570,1
8175,1
8046,1
1488,1
8776,1
924,1
15677,2
3768,1
16023,1
2498,2
9197,1
281,1
1689,1
1206,1
16200,2
9,0
1039,2
2853,2
3490,1
2829,2
9303,1
3875,1
6204,1
2197,1
3230,2
1495,1
1211,1
3303,1
2395,1
16167,1
7894,1
6447,0
3178,1
3755,1
16024,2
15572,1
2821,1
1980,1
1603,0
1939,1
6911,1
4074,1
15281,2
2316,2
837,1
6034,1
4967,1
4405,1
4528,1
2953,1
7764,1
8656,1
14961,2
2572,0
15370,1
3115,1
992,1
3836,1
1268,0
14998,2
2694,1
5936,1
2536,1
9112,1
1086,1
3568,2
4619,1
247,1
3379,1
6676,1
3119,1
291,1
3155,1
692,1
5091,2
198,2
3532,1
51,1
2201,1
433,2
817,1
16353,0
3372,1
3625,1
295,1
2852,1
3701,2
1413,2
6694,2
3127,0
3377,1
1607,1
3587,1
5289,1
2615,2
8037,1
1997,1
7,1
6493,0
8539,1
6032,1
2167,1
9587,1
965,1
538,2
753,1
905,1
2782,2
1191,1
2731,1
6824,1
1695,1
1862,1
1542,1
7112,1
15977,1
7875,1
4699,2
613,1
340,1
14916,0
5750,1
1678,2
2114,1
1423,1
8368,1
6004,1
1894,1
2264,1
5071,1
5129,1
598,2
6215,1
132,1
2174,1
6761,0
6009,1
2181,1
7793,1
1006,1
6960,1
5570,1
8331,1
15437,1
8974,1
2762,2
16171,1
248,1
3634,1
2595,1
3231,1
15973,1
1359,1
1155,1
3548,2
3288,1
6092,1
5486,1
2504,1
2684,2
1315,1
3832,1
2200,2
6021,1
3099,2
5914,1
16162,1
258,2
15582,1
2435,2
9813,1
2711,1
892,1
1598,1
2669,1
9740,1
6496,1
4204,1
1442,1
14946,2
2287,2
9113,2
3727,2
1704,2
4176,1
2976,1
318,1
9406,1
5861,1
3278,1
39,1
2411,1
5537,0
3821,1
3120,2
5122,1
2950,1
2750,0
7861,1
6862,1
1346,2
1617,1
15366,1
424,0
1003,1
4023,1
7339,2
2471,1
874,1
32,1
2943,1
3336,1
3651,1
15562,2
2027,1
1698,2
8717,1
2876,1
15289,1
6284,1
127,2
1068,1
3752,1
1438,1
3978,2
2004,1
1613,1
1623,1
3755,1
2878,1
2930,1
8283,1
81,1
3141,0
2646,1
5126,1
16507,1
7345,1
6913,1
8653,1
807,1
4569,1
15680,1
8282,1
2879,1
4911,1
1215,2
6484,1
883,2
6604,1
3741,1
3782,1
6766,1
5748,1
4838,1
6765,1
699,1
9075,1
3985,1
3381,2
4200,2
15189,1
489,1
3036,2
9266,1
214,0
15365,1
2929,1
3785,2
1216,2
7659,0
8203,1
16384,1
1908,1
2173,1
1269,1
3314,1
922,1
6185,1
2983,1
15800,1
6848,2
676,2
2293,1
2160,2
1301,0
8859,1
7083,1
211,2
4647,2
9223,2
2200,1
2742,1
283,1
6810,1
8084,1
1534,1
1782,1
16497,2
1807,1
3662,1
2534,1
948,2
880,2
3260,2
1057,1
2249,1
3938,2
485,2
9562,1
377,1
2291,1
1137,1
606,1
16547,1
840,1
7747,1
3532,2
933,1
5763,2
7953,1
7164,2
1662,2
4597,2
1532,1
2816,1
1637,1
9819,1
4346,1
1664,1
2472,1
9043,0
9683,1
628,1
8336,1
3820,1
1773,1
1046,1
461,1
6218,1
3868,1
2742,2
2501,1
41,2
3707,1
2558,1
1777,1
4031,1
6424,1
3442,1
15400,1
9121,1
3229,1
4406,1
7796,1
2914,1
2987,2
6543,2
5439,1
3304,1
767,1
2141,2
8901,1
7561,1
826,1
5328,1
1674,1
2803,1
3273,2
8900,1
9781,1
1473,1
16263,1
8432,1
3250,1
2274,1
4992,1
6500,0
2024,1
1465,1
8624,1
5229,1
1997,1
7556,1
3515,1
16063,0
6829,1
643,1
16128,2
5742,1
432,1
3177,1
6336,2
2962,1
5008,2
6857,1
3165,1
2531,2
431,1
900,1
3033,1
2861,1
3278,2
2898,1
2689,0
2448,0
9096,1
3733,1
3822,1
2546,1
7722,1
8626,2
16241,1
3680,1
8853,1
3283,1
1566,2
7233,2
2360,2
6798,1
3735,1
9431,1
4912,2
833,2
1823,1
2276,1
8850,1
15402,1
3516,1
7282,1
4120,2
8142,1
2676,2
1667,1
699,1
16078,1
15456,2
9679,1
540,1
15748,1
16285,2
2419,1
7590,1
2158,1
3115,2
3584,1
2182,2
1143,0
2336,2
572,1
15385,1
8601,0
3711,1
615,1
15829,1
2715,2
4936,1
477,2
15008,1
5378,1
893,1
6069,2
130,1
7412,1
1209,0
16271,1
61,1
16141,1
405,1
5046,1
2784,1
3587,1
3563,1
9511,1
3149,2
4031,1
16136,1
16337,1
346,1
16463,2
381,2
3675,1
1584,0
2945,1
694,1
1694,2
126,1
2094,1
3389,2
16468,1
5668,1
1951,1
4832,1
2831,1
2736,1
3801,1
2330,1
298,1
1677,1
1429,1
972,1
3669,1
1282,1
15887,1
1463,1
2603,1
594,1
530,1
3452,1
1580,0
3058,1
1085,1
3481,1
3421,1
703,1
8169,1
4610,1
2910,1
3704,2
2831,1
3607,2
5102,1
7926,1
5012,1
2189,1
1376,2
15490,1
7570,1
968,1
8195,2
15654,1
634,1
687,1
6982,2
6145,1
7668,1
2387,1
8185,1
6037,1
557,1
2430,2
778,1
2413,1
451,1
3072,1
3248,2
2763,1
9987,2
2282,1
1710,1
2554,2
6446,1
9362,1
5934,1
82,1
1033,1
1418,1
5836,1
2788,1
763,2
8124,1
3749,1
16372,1
9468,1
3179,1
15193,1
6497,2
3910,2
15298,1
16168,0
218,1
3079,1
3269,1
362,1
2042,1
2439,0
2348,1
5563,1
324,1
4260,2
373,1
285,1
6457,1
4051,1
4667,1
16060,1
3526,2
163,2
576,1
8503,2
7116,1
577,1
2617,1
15525,1
8363,1
16494,1
1815,1
960,1
